"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX","1e-50",2.5465e-47,"NA","-0.703276896317195","-3.49392427139645","290","c(""MT-CO1"", ""MT-ND5"", ""MT-CYB"", ""MT-CO3"", ""MT-ATP6"", ""MT-CO2"", ""AURKAIP1"", ""ATP5MG"", ""COX8A"", ""CYC1"", ""NDUFS6"", ""SLC25A5"", ""ATP5MC1"", ""ATP5F1E"", ""NDUFA11"", ""UQCRH"", ""TIMM13"", ""NDUFS5"", ""NDUFB7"", ""MRPS18C"", ""COX6B1"", ""MRPS18B"", ""MRPL20"", ""MRPL12"", ""NDUFAB1"", ""NDUFA3"", ""UQCR10"", ""MT-ND4"", ""MRPL41"", ""NDUFV2"", ""NDUFA4"", ""TOMM5"", ""NDUFB10"", ""MRPS21"", ""MRPL23"", ""NDUFA1"", ""MT-ATP8"", ""MRPL40"", ""MRPL51"", ""COX7B"", ""TIMM8B"", ""NDUFB11"", ""ATP5PF"", ""ATP5MF"", ""DNAJC19"", ""CHCHD1"", ""MRPL21"", ""COX4I1"", ""MT-ND6"", ""UQCRB"", 
""HSD17B10"", ""TOMM6"", ""MRPS34"", ""MRPL36"", ""ATP5MC3"", ""MRPL43"", ""GADD45GIP1"", ""NDUFB3"", ""NDUFB4"", ""MRPL14"", ""COX5B"", ""MRPL18"", ""NDUFA7"", ""ROMO1"", ""NDUFB9"", ""NDUFC1"", ""MRPL28"", ""ATP5PO"", ""ATP5PB"", ""SLC25A6"", ""TOMM40"", ""NDUFC2"", ""MRPS12"", ""COX7C"", ""ATP5MC2"", ""NDUFB1"", ""MRPL37"", ""UQCRHL"", ""MRPL11"", ""NDUFS8"", ""UQCR11"", ""MRPL2"", ""MRPL38"", ""TIMM10"", ""TOMM20"", ""NDUFS3"", ""UQCRQ"", ""MICOS10"", ""SUCLG1"", ""MRPL4"", ""MRPL22"", ""MRPL47"", ""ATP5F1B"", ""ATP5F1D"", ""COX6C"", ""TIMM21"", ""MRPL27"", ""MRPS33"", ""MRPS7"", ""MRPL35"", 
""MRPL49"", ""NDUFA8"", ""IDH3G"", ""MRPS11"", ""MT-ND1"", ""MRPL33"", ""MRPS10"", ""MRPS18A"", ""CHCHD10"", ""NDUFS7"", ""MRPS22"", ""TIMM17A"", ""MPC2"", ""PDK2"", ""MICOS13"", ""MRPL13"", ""NDUFB5"", ""BAX"", ""SMDT1"", ""PAM16"", ""NDUFA6"", ""MT-ND3"", ""NDUFA13"", ""TIMM50"", ""TOMM22"", ""IDH3B"", ""MRPS16"", ""MRPL52"", ""MRPL17"", ""MRPL54"", ""MRPL15"", ""MRPS23"", ""MRPL16"", ""ATP5F1A"", ""PPIF"", ""MRPL39"", ""NDUFB6"", ""POLG"")"
"GOCC_RIBOSOMAL_SUBUNIT","1e-50",2.5465e-47,"NA","-0.837091439182583","-4.00122450863636","180","c(""RPS5"", ""RPS19"", ""RPL28"", ""RPL8"", ""RPL35A"", ""RPS15"", ""RPS24"", ""RPL35"", ""RPS26"", ""RPSA"", ""AURKAIP1"", ""RPS11"", ""RPL24"", ""RPS28"", ""UBA52"", ""RPL13A"", ""RPS9"", ""RPS10"", ""RPL27A"", ""RPL34"", ""RPLP2"", ""RPS2"", ""RPS17"", ""RPL11"", ""RPL26"", ""RPL39"", ""RPL21"", ""RPL18"", ""RACK1"", ""MRPS18C"", ""RPL7"", ""MRPS18B"", ""MRPL20"", ""MRPL12"", ""RPS18"", ""RPL36"", ""RPS3"", ""RPS14"", ""MRPL41"", ""MRPS21"", ""MRPL23"", ""RPS15A"", ""RPL36AL"", ""MRPL40"", ""MRPL51"", ""RPL38"", ""RPL30"", ""RPL13"", ""RPL41"", ""CHCHD1"", ""RPS4X"", ""MRPL21"", ""RPL10"", ""RPL23"", 
""RPL22"", ""MRPS34"", ""MRPL36"", ""RPL37A"", ""RPL17"", ""MRPL43"", ""RPL27"", ""GADD45GIP1"", ""RPS27"", ""RPS20"", ""MRPL14"", ""RPL32"", ""MRPL18"", ""RPL6"", ""RPS21"", ""RPS25"", ""MRPL28"", ""RPL15"", ""FAU"", ""RPS16"", ""MRPS12"", ""RPL26L1"", ""RPL29"", ""MRPL37"", ""MRPL11"", ""RPL10A"", ""MRPL2"", ""RPS7"", ""MRPL38"", ""MRPL4"", ""MRPL22"", ""MRPL47"", ""RPS23"", ""MRPL27"", ""MRPS33"", ""MRPS7"", ""MRPL35"", ""MRPL49"", ""RPS12"", ""RPL23A"", ""RPLP0"", ""RPL18A"", ""MRPS11"", ""MRPL33"", ""MRPS10"", ""MRPS18A"", ""MRPS22"", ""RPS6"", ""MRPL13"", ""RPL14"", ""RPL7L1"", ""RPS29"", ""RPS8"", 
""RPS3A"", ""RPL7A"", ""RPL39L"", ""MRPS16"", ""MRPL52"", ""MRPL17"", ""MRPL54"", ""MRPL15"", ""MRPS23"", ""MRPL16"", ""RPL31"")"
"GOCC_RIBOSOME","1e-50",2.5465e-47,"NA","-0.787793713921142","-3.81816946486313","210","c(""RPS5"", ""RPS19"", ""RPL28"", ""RPL8"", ""RPL35A"", ""RPS15"", ""RPS24"", ""RPL35"", ""RPS26"", ""RPSA"", ""AURKAIP1"", ""RPS11"", ""RPL24"", ""RPS28"", ""UBA52"", ""RPL13A"", ""RPS9"", ""RPS10"", ""RPL27A"", ""RPL34"", ""RPLP2"", ""RPS2"", ""RPS17"", ""RPL11"", ""RPL26"", ""RPL39"", ""RPL21"", ""RPL22L1"", ""RPL18"", ""RACK1"", ""MRPS18C"", ""BTF3"", ""RPL7"", ""MRPS18B"", ""MRPL20"", ""MRPL12"", ""RPS18"", ""RPL36"", ""RPS3"", ""RPS14"", ""MRPL41"", ""MRPS21"", ""MRPL23"", ""RPS15A"", ""RPL36AL"", ""MRPL40"", ""MRPL51"", ""RPL38"", ""RPL30"", ""RPL13"", ""RPL41"", ""CHCHD1"", ""RPS4X"", ""MRPL21"", 
""RPL10"", ""RPL23"", ""RPL22"", ""MRPS34"", ""MRPL36"", ""RPL37A"", ""RPL17"", ""MRPL43"", ""RPL27"", ""GADD45GIP1"", ""RPS27"", ""RPS20"", ""SERP1"", ""MRPL14"", ""CANX"", ""RPL32"", ""MRPL18"", ""NDUFA7"", ""RPL6"", ""RPS21"", ""RPS25"", ""MRPL28"", ""RPL15"", ""FAU"", ""RPS16"", ""MRPS12"", ""RPL26L1"", ""RPL29"", ""MRPL37"", ""MRPL11"", ""RPL10A"", ""MRPL2"", ""RPS7"", ""MRPL38"", ""APEX1"", ""MRPL4"", ""MRPL22"", ""MRPL47"", ""RPS23"", ""MRPL27"", ""MRPS33"", ""MRPS7"", ""MRPL35"", ""MRPL49"", ""RPS12"", ""RPL23A"", ""RPLP0"", ""RPL18A"", ""MRPS11"", ""MRPL33"", ""MRPS10"", ""MRPS18A"", ""MRPS22"", 
""RPS6"", ""MRPL13"", ""RPL14"", ""RPL7L1"", ""RPS29"", ""RPS8"", ""RPS3A"", ""RPL7A"", ""RPL39L"", ""MRPS16"", ""MRPL52"", ""MRPL17"", ""MRPL54"", ""MRPL15"", ""MRPS23"", ""MRPL16"", ""RPL31"")"
"GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME","1e-50",2.5465e-47,"NA","-0.844390218062556","-4.03423332789437","161","c(""RPS5"", ""RPS19"", ""RPL28"", ""RPL8"", ""RPL35A"", ""RPS15"", ""RPS24"", ""RPL35"", ""RPS26"", ""RPSA"", ""RPS11"", ""RPL24"", ""RPS28"", ""UBA52"", ""RPL13A"", ""RPS9"", ""RPS10"", ""RPL27A"", ""RPL34"", ""RPLP2"", ""RPS2"", ""RPS17"", ""RPL11"", ""RPL26"", ""RPL39"", ""RPL21"", ""RPL22L1"", ""RPL18"", ""MRPS18C"", ""RPL7"", ""MRPS18B"", ""MRPL20"", ""MRPL12"", ""RPS18"", ""RPL36"", ""RPS3"", ""RPS14"", ""MRPL41"", ""MRPS21"", ""MRPL23"", ""RPS15A"", ""RPL36AL"", ""MRPL51"", ""RPL38"", ""RPL30"", ""RPL13"", ""RPL41"", ""RPS4X"", ""MRPL21"", ""RPL10"", ""RPL23"", ""RPL22"", ""MRPS34"", ""MRPL36"", 
""RPL37A"", ""RPL17"", ""MRPL43"", ""RPL27"", ""RPS27"", ""RPS20"", ""MRPL14"", ""RPL32"", ""MRPL18"", ""NDUFA7"", ""RPL6"", ""RPS21"", ""RPS25"", ""MRPL28"", ""RPL15"", ""FAU"", ""RPS16"", ""MRPS12"", ""RPL26L1"", ""RPL29"", ""MRPL37"", ""MRPL11"", ""RPL10A"", ""MRPL2"", ""RPS7"", ""MRPL4"", ""MRPL22"", ""MRPL47"", ""RPS23"", ""MRPL27"", ""MRPS33"", ""MRPS7"", ""MRPL35"", ""MRPL49"", ""RPS12"", ""RPL23A"", ""RPLP0"", ""RPL18A"", ""MRPS11"", ""MRPL33"", ""MRPS18A"", ""MRPS22"", ""RPS6"", ""MRPL13"", ""RPL14"", ""RPL7L1"", ""RPS29"", ""RPS8"", ""RPS3A"", ""RPL7A"", ""RPL39L"", ""MRPS16"", ""MRPL52"", 
""MRPL17"", ""MRPL54"", ""MRPL15"", ""MRPS23"", ""MRPL16"", ""RPL31"")"
"GOCC_CYTOSOLIC_RIBOSOME","8.31249015152228e-49",1.69342049366812e-45,"1.82023946954892","-0.885830726695969","-3.81887898488345","95","c(""RPS5"", ""RPS19"", ""RPL28"", ""RPL8"", ""RPL35A"", ""RPS15"", ""RPS24"", ""RPL35"", ""RPS26"", ""RPSA"", ""RPS11"", ""RPL24"", ""RPS28"", ""UBA52"", ""RPL13A"", ""RPS9"", ""RPS10"", ""RPL27A"", ""RPL34"", ""RPLP2"", ""RPS2"", ""RPS17"", ""RPL11"", ""RPL26"", ""RPL39"", ""RPL21"", ""RPL18"", ""RACK1"", ""RPL7"", ""RPS18"", ""RPL36"", ""RPS3"", ""RPS14"", ""RPS15A"", ""RPL36AL"", ""RPL38"", ""RPL30"", ""RPL13"", ""RPL41"", ""RPS4X"", ""RPL10"", ""RPL23"", ""RPL22"", ""RPL37A"", ""RPL17"", ""RPL27"", ""RPS27"", ""RPS20"", ""RPL32"", ""RPL6"", ""RPS21"", ""RPS25"", ""RPL15"", ""FAU"", ""RPS16"", ""RPL26L1"", 
""RPL29"", ""RPL10A"", ""RPS7"", ""RPS23"", ""RPS12"", ""RPL23A"", ""RPLP0"", ""RPL18A"", ""RPS6"", ""RPL14"", ""RPL7L1"", ""RPS29"", ""RPS8"", ""RPS3A"", ""RPL7A"", ""RPL39L"")"
"GOCC_LARGE_RIBOSOMAL_SUBUNIT","2.98134086029719e-42",5.06132300049786e-39,"1.69047237898449","-0.834365854252749","-3.67522096270946","111","c(""RPL28"", ""RPL8"", ""RPL35A"", ""RPL35"", ""RPL24"", ""UBA52"", ""RPL13A"", ""RPL27A"", ""RPL34"", ""RPLP2"", ""RPL11"", ""RPL26"", ""RPL39"", ""RPL21"", ""RPL18"", ""RPL7"", ""MRPL20"", ""MRPL12"", ""RPL36"", ""MRPL41"", ""MRPL23"", ""RPL36AL"", ""MRPL40"", ""MRPL51"", ""RPL38"", ""RPL30"", ""RPL13"", ""RPL41"", ""MRPL21"", ""RPL10"", ""RPL23"", ""RPL22"", ""MRPL36"", ""RPL37A"", ""RPL17"", ""MRPL43"", ""RPL27"", ""GADD45GIP1"", ""MRPL14"", ""RPL32"", ""MRPL18"", ""RPL6"", ""MRPL28"", ""RPL15"", ""RPL26L1"", ""RPL29"", ""MRPL37"", ""MRPL11"", ""RPL10A"", ""MRPL2"", ""MRPL38"", ""MRPL4"", ""MRPL22"", 
""MRPL47"", ""MRPL27"", ""MRPL35"", ""MRPL49"", ""RPL23A"", ""RPLP0"", ""RPL18A"", ""MRPL33"", ""MRPS18A"", ""MRPL13"", ""RPL14"", ""RPL7L1"", ""RPL7A"", ""RPL39L"", ""MRPL52"", ""MRPL17"", ""MRPL54"", ""MRPL15"", ""MRPL16"", ""RPL31"", ""MRPL39"")"
"GOBP_CYTOPLASMIC_TRANSLATION","4.21499961450607e-41",6.13342658190841e-38,"1.67199671627594","-0.766366089456069","-3.58860490760666","154","c(""RPS5"", ""RPS19"", ""RPL28"", ""RPL8"", ""RPL35A"", ""RPS15"", ""RPS24"", ""RPL35"", ""RPS26"", ""RPSA"", ""RPS11"", ""RPL24"", ""RPS28"", ""UBA52"", ""RPL13A"", ""RPS9"", ""RPS10"", ""RPL27A"", ""RPL34"", ""RPLP2"", ""RPS2"", ""RPS17"", ""RPL11"", ""RPL26"", ""RPL39"", ""RPL21"", ""RPL22L1"", ""RPL18"", ""RACK1"", ""YBX1"", ""RPL7"", ""RPS18"", ""RPL36"", ""RPS3"", ""RPS14"", ""EIF4A1"", ""RPS15A"", ""RPL38"", ""RPL30"", ""RPL13"", ""RPL41"", ""RPS4X"", ""RPL10"", ""RPL23"", ""RPL22"", ""RPL37A"", ""RPL17"", ""RPL27"", ""RPS27"", ""RPS20"", ""RPL32"", ""RPL6"", ""RPS21"", ""RPS25"", ""EIF3I"", ""RPL15"", 
""FAU"", ""MCTS1"", ""RPS16"", ""EIF3B"", ""RPL26L1"", ""PKM"", ""RPL29"", ""EIF4G1"", ""RPL10A"", ""RPS7"", ""EIF3F"", ""PABPC1"", ""RWDD1"", ""EIF3G"", ""RPS23"", ""RPS12"", ""RPL23A"", ""RPLP0"", ""RPL18A"", ""DRG1"", ""RPS6"", ""RPL14"", ""RPS29"", ""RPS8"", ""RPS3A"")"
"GOBP_OXIDATIVE_PHOSPHORYLATION","1.02984228410227e-38",1.31124668823321e-35,"1.62169955075295","-0.76885545712257","-3.5741781306949","140","c(""MT-CO1"", ""MT-ND5"", ""MT-CYB"", ""MT-CO3"", ""MT-ATP6"", ""MT-CO2"", ""ATP5MG"", ""COX8A"", ""CYC1"", ""NDUFS6"", ""ATP5F1E"", ""NDUFA11"", ""UQCRH"", ""NDUFS5"", ""NDUFB7"", ""COX6B1"", ""NDUFAB1"", ""NDUFA3"", ""UQCR10"", ""MT-ND4"", ""PARK7"", ""NDUFV2"", ""NDUFA4"", ""NDUFB10"", ""NDUFA1"", ""MT-ATP8"", ""COX7B"", ""NDUFB11"", ""ATP5PF"", ""ATP5MF"", ""COX4I1"", ""MT-ND6"", ""UQCRB"", ""NDUFB3"", ""NDUFB4"", ""COX5B"", ""NDUFA7"", ""NDUFB9"", ""NDUFC1"", ""ATP5PO"", ""ATP5PB"", ""NDUFC2"", ""COX7C"", ""NDUFB1"", ""UQCRHL"", ""NDUFS8"", ""UQCR11"", ""UQCC3"", ""NDUFS3"", ""UQCRQ"", ""CCNB1"", 
""ATP5F1B"", ""ATP5F1D"", ""UQCC2"", ""COX6C"", ""NDUFA8"", ""PDE12"", ""COA6"", ""MT-ND1"", ""CHCHD10"", ""NDUFS7"", ""NDUFB5"", ""GHITM"", ""STOML2"", ""DGUOK"", ""SLC25A23"", ""NDUFA6"", ""MT-ND3"", ""NDUFA13"", ""VCP"")"
"GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX","7.18930703040087e-36",8.13669793462925e-33,"1.55654423323138","-0.744802916457385","-3.48315320646882","149","c(""MT-CO1"", ""MT-ND5"", ""MT-CYB"", ""MT-CO3"", ""MT-ATP6"", ""MT-CO2"", ""ATP5MG"", ""COX8A"", ""CYC1"", ""NDUFS6"", ""ATP5MC1"", ""ATP5F1E"", ""NDUFA11"", ""UQCRH"", ""NDUFS5"", ""NDUFB7"", ""COX6B1"", ""NDUFAB1"", ""NDUFA3"", ""UQCR10"", ""MT-ND4"", ""NDUFV2"", ""NDUFA4"", ""NDUFB10"", ""NDUFA1"", ""MT-ATP8"", ""COX7B"", ""NDUFB11"", ""ATP5PF"", ""ATP5MF"", ""DNAJC19"", ""COX4I1"", ""MT-ND6"", ""UQCRB"", ""ATP5MC3"", ""NDUFB3"", ""NDUFB4"", ""COX5B"", ""NDUFA7"", ""ROMO1"", ""NDUFB9"", ""NDUFC1"", ""ATP5PO"", ""ATP5PB"", ""SLC25A6"", ""NDUFC2"", ""COX7C"", ""ATP5MC2"", ""NDUFB1"", ""UQCRHL"", 
""NDUFS8"", ""UQCR11"", ""TIMM10"", ""NDUFS3"", ""UQCRQ"", ""MICOS10"", ""ATP5F1B"", ""ATP5F1D"", ""COX6C"", ""TIMM21"", ""NDUFA8"", ""MT-ND1"", ""CHCHD10"", ""NDUFS7"", ""TIMM17A"", ""MPC2"", ""MICOS13"", ""NDUFB5"", ""SMDT1"", ""PAM16"", ""NDUFA6"", ""MT-ND3"", ""NDUFA13"", ""TIMM50"")"
"GOBP_AEROBIC_RESPIRATION","1.62037608982676e-32",1.65051508509754e-29,"1.48156758833633","-0.676978472990466","-3.23738878930902","187","c(""MT-CO1"", ""MT-ND5"", ""MT-CYB"", ""MT-CO3"", ""MT-ATP6"", ""MT-CO2"", ""ATP5MG"", ""COX8A"", ""CYC1"", ""NDUFS6"", ""ATP5F1E"", ""NDUFA11"", ""UQCRH"", ""NDUFS5"", ""NDUFB7"", ""COX6B1"", ""NDUFAB1"", ""NDUFA3"", ""UQCR10"", ""MT-ND4"", ""PARK7"", ""NDUFV2"", ""NDUFA4"", ""NDUFB10"", ""NDUFA1"", ""MT-ATP8"", ""COX7B"", ""NDUFB11"", ""ATP5PF"", ""ATP5MF"", ""COX4I1"", ""MT-ND6"", ""UQCRB"", ""NDUFB3"", ""NDUFB4"", ""COX5B"", ""NDUFA7"", ""NDUFB9"", ""NDUFC1"", ""ATP5PO"", ""ATP5PB"", ""NDUFC2"", ""BLOC1S1"", ""COX7C"", ""NDUFB1"", ""UQCRHL"", ""NDUFS8"", ""UQCR11"", ""UQCC3"", ""ARL2"", ""MDH2"", 
""NDUFS3"", ""UQCRQ"", ""CCNB1"", ""SUCLG1"", ""BNIP3"", ""ATP5F1B"", ""ATP5F1D"", ""UQCC2"", ""COX6C"", ""NDUFA8"", ""IDH3G"", ""PDE12"", ""COA6"", ""MT-ND1"", ""CHCHD10"", ""NDUFS7"", ""NDUFB5"", ""GHITM"", ""STOML2"", ""DGUOK"", ""SLC25A23"", ""NDUFA6"", ""MT-ND3"", ""NDUFA13"", ""VCP"", ""IDH3B"")"
