"BE1_ranks","gene"
0.137431965973536,"ANK3"
0.131920890439504,"PRKG1"
0.127770603622743,"DOCK4"
0.125071921069692,"UBE2E2"
0.120550416730618,"GPHN"
0.119034434844363,"DIAPH2"
0.117853643455399,"SIPA1L1"
0.117372702462086,"FAM155A"
0.116994921876777,"MALAT1"
0.115311262982589,"RORA"
0.114529474997809,"THSD4"
0.113186854232795,"RAD51B"
0.111699276762884,"PTPRG"
0.109312217194076,"EXOC4"
0.107537217962443,"CLMP"
0.106096779046457,"SBF2"
0.105730564294216,"HMGN5"
0.105680086530597,"JMJD1C"
0.10503731701868,"SNHG14"
0.104732840360621,"NPAS2"
0.1045006685761,"SASH1"
0.104253314072278,"EGFR"
0.103974388396941,"TRIO"
0.103822300766285,"ADK"
0.103375136459075,"TCF12"
0.100319349445312,"FHIT"
0.0983793268672399,"FRMD4A"
0.0981917095988353,"HDLBP"
0.097757888844975,"RFX8"
0.0968596717108407,"AGAP1"
0.0967075202888485,"FN1"
0.096272217861482,"SMURF2"
0.0962101614365819,"SDK1"
0.0953801015296439,"EIF4G3"
0.0952564595155603,"MAP4K4"
0.0951927361799185,"IMMP2L"
0.0950503141572863,"GPC6"
0.0944976601350294,"SNRPN"
0.0943659896312334,"PARD3"
0.092220699524439,"ITGB1"
0.0920689277603363,"PRKDC"
0.091774059047262,"ADAMTS6"
0.0903986188755429,"PSD3"
0.090357150157282,"FUT8"
0.0897158425298379,"GREM1"
0.0895138344611448,"SMYD3"
0.0891314079076063,"AKT3"
0.0890507332311448,"SEMA6D"
0.0886591897741619,"CALD1"
0.0885892590610872,"RERE"
0.0881605475592254,"PCNX1"
0.0880717656569016,"ZNF804A"
0.0860659906658595,"ZEB1"
0.0859315561856134,"ZNF609"
0.0852695239008863,"RABGAP1L"
0.0852647890098265,"AC068633.1"
0.085207464453107,"S100A2"
0.085113332695752,"PARP8"
0.0849028598612977,"FAF1"
0.0847718813359927,"IGF1R"
0.0832100310326726,"DOCK1"
0.0831305419911375,"STK3"
0.0827334960077061,"PTPRK"
0.0826910652249488,"SAMD4A"
0.0825171305678741,"KIRREL3"
0.0822413997199331,"ANK2"
0.0822362242676025,"ARHGEF9"
0.0821315605505339,"RNGTT"
0.082065107139948,"AVL9"
0.0818145141305645,"CARD8"
0.0817797391764885,"ZCCHC7"
0.0816284555208152,"CDH13"
0.0814086068807575,"CCND2"
0.0812848719284025,"NBAS"
0.0810579971400533,"USP3"
0.0809114922361555,"NFIA"
0.0806706165725442,"PBX3"
0.0805699035382046,"SH3BGRL"
0.0803713522204174,"SRSF11"
0.0802994336034192,"RUNX2"
0.0800538376007319,"AF121898.1"
0.0798632971635417,"CDK13"
0.079771083645381,"XYLT1"
0.0796738087733905,"LRFN5"
0.0794555343049368,"ITFG1"
