"Gene","Coefficient_1227","P_Value_1227","Coefficient_9369","P_Value_9369"
"RAD51B",0.248666405312331,2.45206791551743e-13,0.166628705026331,2.01151624409691e-13
"ADK",0.233903715832294,1.27483448592977e-11,0.105563925000348,4.63104742558312e-06
"ANK3",0.228545234625876,1.98770912740917e-11,-0.0985645926448573,1.45196935070779e-05
"GPHN",0.22033197629694,8.92699354829023e-11,-0.00758596863850075,0.73776713150886
"SIPA1L1",0.219259043929182,3.94536482506282e-10,0.0294728679556994,0.207291361946482
"DOCK4",0.210400762717185,2.55580725203152e-09,-0.191311702282565,5.22682847564991e-16
"FUT8",0.210166359913887,1.22588995235294e-08,0.0188339112199236,0.444090634159674
"IMMP2L",0.205189386848557,5.37486493947929e-10,-0.0260461290783258,0.237359602821784
"MALAT1",0.204946553348908,2.45942299219374e-06,-0.139394123584712,1.59101699141759e-06
"FAM155A",0.204680837469437,3.07775922249654e-07,-0.0886238537982377,0.000896738233978053
"UBE2E2",0.194553971205934,8.73161368300253e-10,-0.0662865471056751,0.00173958586727881
"GRAMD1B",0.191468194387688,6.18767156316897e-08,0.338963747496213,3.15107216484192e-46
"SMURF2",0.187820015929868,3.20431676402613e-07,-0.173926768327111,1.40607440010929e-12
"FRMD3",0.187631364529359,1.90767511450014e-09,0.0803592188894563,0.000115781891346193
"PTPRG",0.182324782515306,5.52670218421997e-08,-0.0255329569442029,0.254003774829595
"SMYD3",0.180539629493586,2.45583153668095e-07,0.202652332811325,4.57374584047044e-18
"MAGI1",0.177608894735485,8.24376269636217e-08,0.118867552402214,7.67682777219097e-08
"PRKG1",0.175458429432066,1.01151718388031e-09,-0.0986719229143477,2.65923624025017e-07
"FHIT",0.171282908263124,3.82792467112102e-07,-0.0550155487695707,0.0145209777534319
"NPAS2",0.170254537587547,6.72995876922035e-07,-0.314481858992643,1.40076588716532e-42
"TRIO",0.169980687688833,4.25727712099086e-06,0.00433984032261925,0.860325191550933
"THSD4",0.16800562307662,1.43381488656017e-07,-0.147829283638055,4.24435484337787e-12
"UBASH3B",0.16785648065303,4.55912528766782e-06,0.243646507116127,2.74610858021703e-23
"PARD3",0.16780854692024,1.32044206809063e-07,0.0126030956675807,0.552511798242963
"SBF2",0.166408806916155,3.60589977649028e-08,0.0180139773653821,0.371291041399494
"ITGB1",0.163713161514129,1.33505197900377e-07,0.0202769883893663,0.327484124309529
"FRMD4A",0.163071499112556,1.44043792321757e-06,0.0640441713677465,0.00456516416478059
"EIF4G3",0.160727227922088,5.18244912297595e-07,0.046404699970248,0.0298589783705908
"LRRFIP1",0.160027814266236,2.22115301140969e-07,0.136071003705853,4.30342625408649e-11
"SDK1",0.159555433556993,1.08667899394662e-06,-8.61919244176686e-05,0.99685036440226
"CDK17",0.158094221454469,6.80392377676829e-07,-0.0279570470062173,0.188010734763426
"RORA",0.154175753366335,3.38702234931726e-06,-0.183138534181312,1.53968034688717e-16
"DYNC1H1",0.152294225233223,1.78705059689045e-06,0.0616229482920859,0.00378135907300737
"AKT3",0.149282802780554,2.69992175532358e-07,-0.0450260093000295,0.0200713577170888
"AF121898.1",0.147631123672162,2.67183157730178e-05,-0.143948741022572,8.8152242540704e-10
"IGF2BP2",0.145276460232395,9.90861280432006e-06,0.106982800554376,1.09622458339202e-06
"MYO10",0.145019979834627,1.00458508723334e-05,0.0551385479106508,0.0118718989673418
"SNHG14",0.144867391947595,2.45296930166274e-11,-0.0118176202669959,0.4140264267782
"DIAPH2",0.144241749509816,2.51974548234787e-05,-0.442901921201483,7.664173509025e-82
"ZEB1",0.14211852838045,2.81373186348199e-06,0.0244591125969073,0.226982008541129
"COG5",0.141846434523221,4.10073059015005e-07,-0.0081364651759765,0.663247513776263
"CEP170",0.140289797148822,1.46593647306568e-05,-0.0192874299701053,0.371912286303446
"STAG1",0.139838975758084,2.85008609150174e-05,0.0642981088262312,0.00393881227148232
"ADAMTS6",0.139149561295321,0.000333630118505049,-0.173519059946931,2.17180233506905e-11
"KCNQ5",0.139104620532051,0.000305855014466123,0.0737252797570162,0.00415261325635087
"RERE",0.138809824072685,9.9224553475369e-06,0.0548831792891221,0.00884839539623002
"RABGAP1L",0.137375342185317,1.24658092598114e-06,-0.0150404156485058,0.426282270969736
"LPP",0.135578983529872,2.69938858881075e-05,0.0310568313559488,0.14963864609591
"KIRREL3",0.13542631046759,5.23568700264532e-05,0.0167512827506039,0.453415044836987
"PSD3",0.135369665266549,3.35151817595279e-07,0.072031411482208,4.74602543247522e-05
"NAV3",0.13530121788289,3.33635387286386e-05,-0.00106990981318942,0.960784805936003
"CDH4",0.135235028299693,1.86636210172472e-05,0.218988170074664,4.09250014533625e-25
"RBFOX2",0.133943780575983,3.55631901004891e-06,-0.019785356082072,0.304760094461418
"GREM1",0.133831190626497,9.30737511136536e-07,-0.112859522015508,5.88600897279932e-10
"CDH13",0.133534383090752,0.000126799649278351,-0.0591136283148955,0.0110279922669407
"FRMD4B",0.133420245376348,3.26849050833965e-07,-0.0453172361980165,0.00932803975408185
"ZCCHC7",0.133248378544577,7.93180508521541e-06,0.0160254495896612,0.420736445733074
"JMJD1C",0.133220051950662,2.24195309485643e-05,0.0162498476060692,0.438386285564644
"ZFPM2",0.13297967030688,0.000569774866706459,0.0960935717204466,0.000192254707551759
"MNAT1",0.1322769476908,9.61870880296523e-06,0.0524236872197371,0.00858817122029226
"DYNC2H1",0.130066159529801,1.85617762739035e-06,0.00756585458278031,0.677596966622062
"STK3",0.12977165136645,4.44026022899083e-06,0.0100663027186757,0.593635004431133
"MED13L",0.128184017849248,4.91489806977536e-05,0.0469345383871772,0.0259380861996586
"ESM1",0.12817517868687,0.000295574152362082,0.00424545643555543,0.857452707854705
"PVT1",0.127921958347224,8.22149002384734e-05,0.0322004359133185,0.1374759875582
"GMDS",0.127304075779216,1.9594010209576e-05,0.00782888294472253,0.693965324163606
"SASH1",0.127226287029476,7.74571023147145e-05,-0.0822566860580187,0.000129602596217935
"EIF2S1",0.126047383957161,1.2120591905232e-05,0.139001887365963,5.22489883225351e-13
"MAP4K4",0.124310996474024,0.000230023929798906,-0.421487760766276,1.65089733485927e-76
"APP",0.124070179647055,7.05462807324789e-05,-0.00693889787836522,0.739069137163159
"ZNF804A",0.123997861849814,3.13111025521764e-05,-0.00701042164845064,0.724261835644884
"FAF1",0.122836093728755,0.000252866569565517,-0.0392368805434521,0.0798975249400837
"EXOC4",0.122718040078544,9.5220299850344e-06,-0.248416613054262,1.07455552285521e-40
"HIVEP3",0.122354019543771,0.000110054807934103,-0.0113638225112794,0.590428148514739
"PRKDC",0.121632364861746,1.25187067162215e-05,0.0275220969976948,0.138543201567292
"HDAC8",0.119975143722343,6.66497302677062e-06,0.0452505307428819,0.0109118864577617
"NBAS",0.119728419292899,8.61268201422575e-07,-0.0227015935478036,0.161969143121548
"ZBTB20",0.119512238438348,8.53677563927531e-05,0.0553815362509109,0.00638144077963168
"IGF1R",0.1191020652139,4.72620151593539e-05,-0.0737288214991005,0.000161468855593605
"DOCK5",0.1185187056296,5.52220158861833e-05,0.108157304947935,3.60767215933782e-08
"PTPRK",0.117206031825489,6.77320440098971e-06,0.0394604058529142,0.0231710072260841
"MAML2",0.116967062628124,1.76014032000895e-05,-0.0426793465843209,0.0189100012201906
"CLMP",0.116908483099694,0.00050522092467391,-0.317619698782395,5.8512817867118e-45
"ASAP1",0.116795299631463,0.000559565785647265,0.0947327871201305,2.77681896029925e-05
"PCNX1",0.116323939818723,6.44106017262139e-06,0.057546331784018,0.000826725140640916
"SPIDR",0.115859703518077,0.000123285535963258,0.0928941652695793,4.03006652134966e-06
"TTC28",0.115700393379822,5.6951596402385e-05,-0.0139764009113027,0.466240416208205
"GTF2I",0.115574835785204,5.56346956207665e-05,-0.0742865154955611,0.000104287347057233
"WAC",0.1151533388243,5.85211774112633e-05,-0.0104164402731429,0.585933072789553
"CAB39",0.114186116972182,6.09001766036185e-05,0.0494446578216612,0.00929450265416941
"AGAP1",0.113601942829528,0.00016450521579535,-0.018006896561509,0.370811861742981
"APBB2",0.113157270532763,0.000232024036627232,0.0119863944297048,0.559019599266657
"SERPINE1",0.112962559907039,0.00265227579843853,-0.0952762172498657,0.000147069236380319
"DOCK1",0.112844610397609,5.96807683974393e-05,-0.0901141432663433,1.58631140351678e-06
"ZNF638",0.112804760908831,9.01757864547114e-05,0.0255446096315307,0.183973688896794
"TFPI2",0.112763703328367,0.000308509396243808,-0.00456906935948623,0.826607781268168
"MAPK8",0.112422077353876,7.08813193846309e-06,0.0170354420439892,0.307781358634775
"XKR6",0.112287852255383,2.34645804200074e-05,0.00672603551594675,0.704221090695253
"NCKAP1",0.111435332305912,2.65031497504641e-05,-0.0369691060070476,0.0367432341322873
"SENP6",0.110731221186414,4.26483308174374e-05,-0.00149777670889853,0.933885646111962
"KIAA1549L",0.110674002193604,0.000297784666976548,-0.0271105488856882,0.184311595121254
"KRAS",0.110503498941059,0.000314387561250584,-0.0678880487311054,0.000914276810813398
"THADA",0.110361232827195,3.80226080922418e-05,0.0420489876372534,0.0186966438145221
"GPC6",0.110294449116218,0.00115169586064124,-0.159040019570382,2.35327912535659e-12
"LINC02742",0.109768974955829,3.96985222467755e-06,0.142863471654043,2.82500241496923e-19
"DLGAP1",0.109656775340408,0.000132704270363557,-0.00307669592629196,0.872359694380262
"TNRC6B",0.109612092981388,2.68214350297799e-05,-0.02562164516487,0.141358300612521
