"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX","9.51013003798394e-10","5.23817962492156e-06","0.788186810800237","-0.669774510532005","-1.86667975953552","292","c(""MT-CO1"", ""MT-ND5"", ""MT-CO2"", ""MT-CYB"", ""MT-ATP6"", ""MT-CO3"", ""MT-ATP8"", ""MT-ND6"", ""MT-ND4"", ""TOMM7"", ""MRPL41"", ""TOMM22"", ""NDUFS6"", ""MRPL12"", ""TIMM13"", ""BAX"", ""NDUFB10"", ""ATP5MF"", ""MRPL48"", ""ATP5F1D"", ""UQCRFS1"", ""IDH3B"", ""NDUFA11"", ""AURKAIP1"", ""MRPS18B"", ""ROMO1"", ""SUCLG1"", ""MRPL4"", ""TOMM40"", ""NDUFB1"", ""VDAC1"", ""NDUFB3"", ""TIMM10"", ""GADD45GIP1"", ""IDH3G"", ""MRPS10"", ""ATP5MG"", ""MRPS12"", ""COX8A"", ""MRPL2"", ""TOMM5"", ""MRPL14"", ""ATP5MC3"", ""MRPS18A"", ""DLAT"", ""NDUFAB1"", ""MRPS2"", ""MRPL37"", ""MRPS5"", ""GRPEL1"", 
""MRPS14"", ""MRPS21"", ""MRPS34"", ""TOMM20"", ""MCU"", ""MRPL32"", ""TIMM9"", ""FXN"", ""MRPL23"", ""ATP5MC2"", ""TIMM17A"", ""NDUFS8"", ""MRPS17"", ""CHCHD6"", ""MRPL55"", ""ATP5F1A"", ""MRPL28"", ""PDHX"", ""PAM16"", ""MRPL10"", ""IDH3A"", ""MRPL21"", ""SDHA"", ""TIMM10B"", ""MRPL18"", ""PMPCA"", ""PPIF"", ""MRPL30"", ""TIMM44"", ""MRPL36"", ""MRPL33"", ""TOMM6"", ""MRPL40"", ""MRPL13"", ""UQCRC2"", ""MRPL20"", ""PNPT1"", ""ATP5MC1"", ""MT-ND4L"", ""MRPL15"", ""HSPA9"", ""DNAJC11"", ""NDUFA7"", ""MT-ND3"", ""ATP5F1C"", ""MICOS13"", ""HADHA"", ""TIMM21"", ""ATP5F1B"", ""PMPCB"", ""APOO"", ""MRPL54"", 
""MPC2"", ""BCS1L"", ""SLC25A5"", ""ATP5PO"", ""GRPEL2"", ""MPC1"", ""COX7B"", ""MRPS15"", ""MRPS31"", ""NDUFS5"", ""MRPL44"", ""MRPS26"", ""NDUFB6"", ""ATP5PF"", ""MRPL9"", ""UQCRHL"", ""TIMM22"", ""NDUFV1"", ""SMDT1"", ""MRPL35"", ""NDUFC2"", ""UQCRH"", ""UQCRQ"", ""HSD17B10"", ""DAP3"", ""MRPL49"", ""MRPS18C"", ""DNAJC19"", ""NDUFB9"", ""MRPS7"", ""NDUFV3"", ""NFS1"", ""ATP5F1E"", ""MRPL27"", ""PHB2"", ""SDHB"", ""POLG2"", ""COX7C"", ""POLRMT"", ""NDUFA4"", ""BCKDK"")"
"2","GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS","5.0215871011316e-08","0.000138294508765164","0.719512826338911","-0.582469441136722","-1.66837023826632","435","c(""NUP88"", ""RPL26L1"", ""PUF60"", ""SRSF6"", ""SNRPC"", ""RRP36"", ""PA2G4"", ""EBNA1BP2"", ""EIF6"", ""SF3B5"", ""GTPBP4"", ""DKC1"", ""SRSF9"", ""EIF3G"", ""SRFBP1"", ""LSM4"", ""ABT1"", ""ERI3"", ""POLR2D"", ""DHX9"", ""POP7"", ""NSA2"", ""DDX56"", ""DDX49"", ""RPUSD1"", ""MRM3"", ""SF3B2"", ""DENR"", ""YTHDF2"", ""RPS19"", ""DDX18"", ""KRR1"", ""TXNL4A"", ""EIF3B"", ""RPL35"", ""SNU13"", ""EIF2S2"", ""SF1"", ""DDX23"", ""LYAR"", ""SRSF10"", ""SNRNP200"", ""NHP2"", ""DDX46"", ""FBL"", ""RPL6"", ""HSP90AB1"", ""TRMT112"", ""EIF3H"", ""NOP53"", ""MRPS2"", ""EIF3I"", ""RPP30"", ""EIF2S3"", ""SNRPF"", 
""SNRPG"", ""AATF"", ""GLUL"", ""NOLC1"", ""RPL7L1"", ""RPS5"", ""RBIS"", ""RPS15"", ""NPM1"", ""RAN"", ""XAB2"", ""SNRPB"", ""DDX51"", ""SNRPD3"", ""EMG1"", ""EXOSC3"", ""RPF2"", ""NAT10"", ""RPL35A"", ""SNRPD1"", ""RPL11"", ""NOC2L"", ""WDR46"", ""NOP10"", ""SNRPB2"", ""PRPF8"", ""RUVBL2"", ""RPSA"", ""ZNF593"", ""UTP4"", ""RPL27"", ""EIF3K"", ""RBM5"", ""RIOK3"", ""EIF5"", ""PRPF6"", ""NOL8"", ""WBP11"", ""ZNF622"", ""SF3B4"", ""SRSF1"", ""GTF2H5"", ""XPO1"", ""MALSU1"", ""RRS1"", ""RRP8"", ""BMS1"", ""SNRPD2"", ""MRPL36"", ""PTGES3"", ""IMP3"", ""RPL7"", ""NOP16"", ""CRNKL1"", ""WDR74"", ""MRPL20"", ""STRAP"", 
""RPS24"", ""GRWD1"", ""LUC7L3"", ""USP4"", ""WDR18"", ""RRP9"", ""EXOSC4"", ""GTF3A"", ""LSM6"", ""ERCC2"", ""RPL38"", ""PRPF19"", ""KHDC4"", ""RPL14"", ""SF3A1"", ""SART1"", ""DHX30"", ""RPL5"", ""NUDT21"", ""RPS9"", ""SF3B3"", ""TSR2"", ""ISG20L2"", ""YJU2"", ""AAR2"", ""NOP56"", ""TSR3"", ""PES1"", ""NCBP1"", ""PDCD11"", ""PRPF3"", ""MRPL44"", ""RPLP0"", ""CLNS1A"", ""UTP14A"", ""IMP4"", ""HTATSF1"", ""NOL9"", ""RPS27L"", ""RRP15"", ""DHX29"", ""SNRPE"", ""SNRPA1"", ""DDX27"", ""NOP58"", ""NUFIP1"", ""HEATR1"", ""SF3B1"", ""MRM2"", ""ISY1"", ""UTP23"", ""DDX3X"", ""RCL1"", ""MRPS7"", ""DDX28"", ""USP36"", 
""NOB1"", ""NOL10"", ""EIF2D"", ""MCTS1"", ""TFB2M"", ""NIFK"", ""NSUN5"", ""SF3A2"", ""CD2BP2"", ""NOP9"", ""YBEY"", ""LSM2"", ""C1D"", ""TRAF7"", ""ERAL1"")"
"3","GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX","1.54370743489702e-07","0.000283424685047093","0.690132458796796","0.594803496337192","1.63720810938509","415","c(""S100A6"", ""THSD4"", ""SERPINE1"", ""TIMP1"", ""CTSB"", ""BGN"", ""COL6A3"", ""COL13A1"", ""TIMP3"", ""GPC6"", ""CDH13"", ""LMAN1"", ""SERPINE2"", ""PCOLCE"", ""GREM1"", ""ANGPT2"", ""LAMA4"", ""S100A4"", ""COL6A1"", ""TGFB1"", ""PSAP"", ""AEBP1"", ""P3H2"", ""COL6A2"", ""CTHRC1"", ""CSPG4"", ""COL4A2"", ""THBS2"", ""COL18A1"", ""P3H1"", ""COL4A5"", ""SERPINB6"", ""DLG1"", ""LGALS1"", ""SRPX"", ""COL5A1"", ""NID1"", ""DAG1"", ""NCAM1"", ""SPARC"", ""CTSC"", ""TGM2"", ""ANXA2"", ""SEMA7A"", ""CDH2"", ""LTBP1"", ""ADAM19"", ""THBS1"", ""LGALS3"", ""PLAT"", ""PLOD3"", ""APOE"", ""PXDN"", ""ADAMTS2"", 
""S100A10"", ""LAMB2"", ""LTBP2"", ""ADAMTS1"", ""VCAN"", ""LAMA1"", ""LTBP4"", ""ANXA11"", ""COL23A1"", ""PLSCR1"", ""FN1"", ""ECM1"", ""TGFB1I1"", ""ANXA4"", ""FRAS1"", ""CD151"", ""IGFBPL1"", ""COL12A1"", ""LAMC1"", ""EGFL7"", ""SERPINF1"", ""TINAGL1"", ""HTRA1"", ""EFNA5"", ""SNORC"", ""CTSL"", ""MFGE8"", ""PDGFB"", ""MDK"", ""LOXL2"", ""CDON"", ""LTBP3"", ""ECM2"", ""HNRNPM"", ""ANGPT1"", ""MATN2"", ""SMOC1"", ""WNT5B"", ""CASK"", ""ICAM1"", ""MFAP2"", ""FLG"", ""CTSD"", ""TIMP2"", ""PCSK6"", ""MMP9"", ""FREM2"", ""F3"", ""EYS"", ""COL10A1"", ""ASPN"")"
"4","GOBP_KILLING_OF_CELLS_OF_ANOTHER_ORGANISM","6.79061746058311e-07","0.000748054419457835","0.659444398037935","-0.88956044335605","-1.94619966230316","47","c(""HMGN2"", ""GAPDH"", ""ROMO1"", ""RPS19"", ""RPL30"")"
"5","GOCC_RIBOSOME","6.42339029028713e-07","0.000748054419457835","0.659444398037935","-0.667124797618923","-1.80186692033926","213","c(""RPL26L1"", ""MRPL41"", ""RPS26"", ""MRPL12"", ""UBA52"", ""MRPL48"", ""AURKAIP1"", ""DHX9"", ""MRPS18B"", ""MRPL4"", ""RPS19"", ""RPLP2"", ""GADD45GIP1"", ""RPL36AL"", ""MRPS10"", ""RPL35"", ""RPL22L1"", ""SF1"", ""RPS20"", ""RPL8"", ""RPL28"", ""MRPS12"", ""RPL6"", ""MRPL2"", ""MRPL14"", ""RPS10"", ""EIF3H"", ""FAU"", ""MRPS18A"", ""MRPS2"", ""MRPL37"", ""MRPS5"", ""MRPS14"", ""MRPS21"", ""MRPS34"", ""RPL7L1"", ""RPS5"", ""RPS15"", ""MRPL32"", ""BTF3"", ""RPS2"", ""MRPL23"", ""CANX"", ""RPL35A"", ""MRPS17"", ""APEX1"", ""RPL11"", ""MRPL55"", ""MRPL28"", ""RPL30"", ""RPL23"", ""RPSA"", ""MRPL10"", 
""RPL27"", ""RPS23"", ""MRPL21"", ""RPL17"", ""DNAJC21"", ""MRPL18"", ""RPL32"", ""MRPL30"", ""MRPL36"", ""RPL13"", ""IMP3"", ""RPL34"", ""RPL7"", ""MRPL33"", ""MRPL40"", ""MRPL13"", ""MRPL20"", ""RPS24"", ""PNPT1"", ""MRPL15"", ""RACK1"", ""NDUFA7"", ""RPL38"", ""RPL14"", ""FXR2"", ""RPL5"", ""MRPL54"", ""RPS9"", ""RPS3"", ""RPL37"", ""EIF2AK2"", ""MRPS15"", ""RPL24"", ""MRPS31"", ""MRPL44"", ""RPLP0"", ""RPL31"", ""MRPS26"", ""RPS27L"", ""MRPL9"", ""RPL36"", ""RPL18"", ""DHX29"", ""RPL29"", ""MRPL35"", ""RPL10A"", ""DAP3"", ""MRPL49"", ""MRPS18C"", ""MRPS7"", ""RPS27A"")"
"6","GOCC_CELL_LEADING_EDGE","1.43432452030313e-06","0.00131670990963827","0.643551836150722","0.577170744213197","1.58906517585332","421","c(""S100A6"", ""EGFR"", ""PTPRM"", ""CDK6"", ""S100A11"", ""ARHGAP18"", ""CTNNA1"", ""SH3BGRL3"", ""PODXL"", ""ITGB1"", ""TPM1"", ""RNH1"", ""APBB2"", ""PDPN"", ""NCKAP1"", ""MKLN1"", ""PTPRK"", ""LDB2"", ""CCDC88A"", ""LAYN"", ""SLK"", ""PLCG2"", ""SYNE2"", ""ABI2"", ""MCC"", ""APP"", ""WIPF1"", ""TLN1"", ""DPYSL3"", ""CSPG4"", ""FERMT2"", ""PTPRJ"", ""CDC42BPA"", ""RAC3"", ""WASL"", ""PAK1"", ""MYADM"", ""ATP6AP2"", ""PHACTR4"", ""ITGA5"", ""ATF4"", ""THEM4"", ""GBF1"", ""PIP5K1A"", ""PDLIM4"", ""CAPG"", ""SPRY2"", ""PRKCI"", ""TSC1"", ""PSD3"", ""ATP6V1B2"", ""NHS"", ""CTNND1"", ""ARPC3"", ""FERMT1"", 
""SNX5"", ""DAG1"", ""PLEKHO1"", ""PALLD"", ""PDLIM7"", ""PTPN13"", ""SPTBN1"", ""RASA1"", ""RHOA"", ""MYO6"", ""MYO10"", ""ARPIN"", ""KIF18A"", ""PLXND1"", ""CTTN"", ""WASF1"", ""ARHGEF7"", ""FRMD4B"", ""ABLIM1"", ""CDH2"", ""TUBG1"", ""KANK1"", ""PIP5K1C"", ""SLC12A5"", ""ITGB3"", ""GABBR1"", ""ITGAV"", ""INPPL1"", ""ENAH"", ""ARHGEF2"", ""LIMK1"", ""RAB22A"", ""STX3"", ""WASF3"", ""MYO9B"", ""SORBS2"", ""ANTXR1"", ""PLEK2"", ""MYO1D"", ""PIEZO1"", ""MTSS1"", ""PARVB"", ""DLC1"", ""CIB1"", ""EVL"", ""FSCN1"", ""ABLIM3"", ""EEF1A1"", ""ARHGAP44"", ""CTTNBP2NL"", ""CD44"", ""PLCE1"", ""ABI1"", ""SPRY4"", 
""ABL1"", ""ARHGAP45"", ""APBB1IP"", ""AKT1"", ""RAB3IP"", ""FLOT1"", ""SPATA13"", ""EPHA2"", ""ROCK1"", ""SCRIB"", ""IFIT5"", ""FLOT2"", ""CNTNAP2"", ""COBL"", ""ARAP3"", ""CD2AP"", ""TWF1"", ""DCTN1"", ""INPP5E"", ""PDE9A"", ""PLEKHG5"", ""SCYL3"", ""PXN"", ""ADORA1"", ""PKN2"", ""ABITRAM"", ""DBNL"", ""ASAP3"", ""PLEKHA1"", ""FER"", ""RAB5A"", ""MYH10"", ""SHTN1"", ""LCP1"", ""AJUBA"", ""TRPM7"", ""RAC2"", ""ACAP2"", ""PHLDB2"", ""ABI3"", ""IQGAP2"", ""ARPC2"", ""C2CD5"", ""SSH1"", ""APBB1"", ""MTSS2"", ""GABRA2"", ""PTK2B"", ""TLR4"", ""CORO1A"", ""CDK5"", ""KSR1"")"
"7","GOBP_ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE","2.02590787995597e-06","0.00133074956728575","0.627256739718528","-0.813138088502505","-1.93089354833078","73","c(""HMGN2"", ""GAPDH"", ""ROMO1"", ""RPS19"", ""FAU"", ""RPL30"")"
"8","GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY","2.34258904489649e-06","0.00133074956728575","0.627256739718528","-0.538751653265854","-1.5563920889606","496","c(""MT-CO1"", ""MT-ND5"", ""MT-CO2"", ""MT-CYB"", ""MT-ATP6"", ""MT-CO3"", ""MT-ATP8"", ""MT-ND6"", ""MT-ND4"", ""EIF6"", ""PRELID1"", ""NDUFS6"", ""NDUFB10"", ""ATP5MF"", ""PGAM1"", ""ATP5F1D"", ""UQCRFS1"", ""IDH3B"", ""NDUFA11"", ""CYCS"", ""GAPDH"", ""DGUOK"", ""TALDO1"", ""SUCLG1"", ""ACO1"", ""NDUFB1"", ""PPP1CA"", ""NDUFB3"", ""IDH3G"", ""BLOC1S1"", ""GPI"", ""ATP5MG"", ""RPIA"", ""SLC25A23"", ""COX8A"", ""CISD1"", ""NOP53"", ""DLAT"", ""NDUFAB1"", ""ARL2"", ""GLRX2"", ""ADH5"", ""ENO1"", ""SDHAF2"", ""FXN"", ""TKT"", ""NDUFS8"", ""ADSL"", ""PFKP"", ""STAT3"", ""ATP5F1A"", ""PHLDA2"", ""IDH3A"", 
""STK40"", ""TACO1"", ""SDHA"", ""PPP1R2"", ""AK4"", ""PPIF"", ""CYBA"", ""PTGES3"", ""GFPT1"", ""UGP2"", ""UQCRC2"", ""SELENOS"", ""PNPT1"", ""MT-ND4L"", ""TPI1"", ""CHCHD2"", ""FOXK2"", ""CYB5A"", ""NDUFA7"", ""MT-ND3"", ""INPP5K"", ""ATP5F1C"", ""LDHA"", ""ATP5IF1"", ""PGK1"", ""GSK3A"", ""ATP5F1B"", ""UCP2"", ""ETFRF1"", ""ATP5PO"", ""COX7B"", ""DLST"", ""SLC25A13"", ""CS"", ""NDUFS5"", ""G6PD"", ""GNPDA1"", ""PARK7"", ""CAT"", ""NDUFB6"", ""PPARD"", ""CIAPIN1"", ""ATP5PF"", ""AKT2"", ""ZBTB7A"", ""SLC25A14"", ""OXA1L"", ""DEGS1"", ""UQCRHL"", ""GHITM"", ""SLC25A33"", ""NDUFV1"", ""ACLY"", ""NDUFC2"", 
""TMEM135"", ""COX17"", ""GSR"", ""UQCRH"", ""UQCRQ"", ""TP53"", ""PGD"", ""MTFR1L"", ""NDUFB9"", ""TIGAR"", ""AKR7A2"", ""NDUFV3"", ""IDH1"", ""ATP5F1E"", ""ME2"", ""PIK3CA"", ""PRXL2C"", ""SLC27A5"", ""PHB2"", ""SDHB"", ""POLG2"", ""COX7C"", ""ALDH2"", ""MDH2"", ""SLC4A4"", ""PFKFB2"", ""ASPH"", ""GBE1"", ""NDUFA4"", ""CDK1"", ""ETFDH"", ""COX15"", ""CCNB1"", ""IRS2"", ""INSR"", ""AFG1L"", ""TEFM"", ""UQCRB"", ""NDUFA13"", ""COA6"")"
"9","GOBP_PROTON_TRANSMEMBRANE_TRANSPORT","2.27442526602384e-06","0.00133074956728575","0.627256739718528","-0.721522383049956","-1.84992195736356","140","c(""MT-CO1"", ""MT-ND5"", ""MT-CO2"", ""MT-CYB"", ""MT-ATP6"", ""MT-CO3"", ""MT-ATP8"", ""MT-ND4"", ""ATP6V1F"", ""ATP5MF"", ""ATP5F1D"", ""UQCRFS1"", ""ATP5MG"", ""SLC16A1"", ""COX8A"", ""ATP5MC3"", ""ATP6V0C"", ""ATP5MC2"", ""CHP1"", ""ATP6V1D"", ""ATP5F1A"", ""TWIST1"", ""TACO1"", ""PPIF"", ""ATP5MC1"", ""CYB5A"", ""ATP5F1C"", ""ATP5F1B"", ""UCP2"", ""SLC25A5"", ""ATP5PO"", ""COX7B"", ""SLC9A3R1"", ""PARK7"", ""ATP5PF"", ""ATP6V0B"", ""ATP6AP1"", ""COX17"", ""UQCRH"", ""DMAC2L"", ""SLC36A1"", ""ATP5F1E"", ""PHB2"", ""NDUFA4"", ""ATP6V0E2"", ""COX15"", ""RNASEK"", ""ATP1A1"", ""SPHK2"", ""SLC33A1""
)"
"10","GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS","2.89923653003432e-06","0.00133074956728575","0.627256739718528","-0.580374427815053","-1.61404418370287","296","c(""PUF60"", ""SRSF6"", ""SNRPC"", ""SNRNP25"", ""RBM8A"", ""SF3B5"", ""SRSF9"", ""LSM4"", ""BUD31"", ""SYNCRIP"", ""CWC15"", ""MAGOHB"", ""DHX9"", ""PRDX6"", ""HNRNPL"", ""SF3B2"", ""HNRNPA0"", ""LSM5"", ""PQBP1"", ""SRSF3"", ""HNRNPA2B1"", ""RBM4"", ""TXNL4A"", ""SNU13"", ""SF1"", ""DDX23"", ""DDX39A"", ""PTBP1"", ""SRSF10"", ""PRPF4"", ""SNRNP200"", ""DDX46"", ""KHSRP"", ""HNRNPF"", ""PABPC1"", ""PNN"", ""RBM42"", ""SFPQ"", ""HNRNPA1"", ""SNRPF"", ""SNRPG"", ""HNRNPA3"", ""RALY"", ""ALYREF"", ""SNRNP27"", ""RBM3"", ""XAB2"", ""SNRPB"", ""SNRPD3"", ""RBM14"", ""U2AF2"", ""SNRPD1"", ""RBMX"", ""SNRPB2"", 
""RBM17"", ""HNRNPK"", ""PRPF8"", ""HNRNPH3"", ""NUP98"", ""RBM5"", ""PRPF4B"", ""PRPF6"", ""SF3B4"", ""SRSF1"", ""SNRPD2"", ""CRNKL1"", ""DHX38"", ""TRA2B"", ""CWC25"", ""STRAP"", ""HSPA8"", ""LUC7L3"", ""USP4"", ""WBP4"", ""RBM19"", ""LSM6"", ""PRPF19"", ""KHDC4"", ""FXR2"", ""SF3A1"", ""SART1"", ""PRPF38A"", ""SF3B3"", ""RBM15B"", ""YJU2"", ""RBM41"", ""AAR2"", ""NCBP1"", ""SNRNP70"", ""PRPF3"", ""PPIL1"", ""RBM15"", ""LSM7"", ""CLNS1A"", ""HTATSF1"", ""ZBTB7A"", ""SNRPE"", ""SNRPA1"", ""LSM3"", ""SRSF4"", ""U2AF1L4"", ""HNRNPR"", ""DDX41"", ""ESS2"", ""RBM4B"", ""SF3B1"", ""RBM38"", ""ISY1"", ""RBMXL1"", 
""PLRG1"", ""CDC5L"", ""SCNM1"", ""DHX16"", ""PPIH"", ""RNPS1"", ""SF3A2"", ""CD2BP2"", ""JMJD6"", ""LSM2"")"
