"Gene","Coefficient_1227","P_Value_1227","Coefficient_9369","P_Value_9369"
"MIR4527HG",0.183532193815775,0.00117284726894101,-0.232108582828026,3.00821615724792e-12
"S100A2",0.17613285044769,0.000238107352861045,-1.33499731994442,0
"MMP1",0.171837886037515,0.0127758509206245,-0.812095976793978,1.55796041058897e-86
"S100A6",0.165828186845766,1.85213985907545e-08,-0.821331620375699,0
"DCBLD2",0.162351442389226,0.000400118185583605,-0.630935687529498,2.71064604573329e-116
"STAG1",0.155490934084837,0.000132365987004891,0.241924173727851,6.22607002239507e-24
"LPP",0.149876463471183,0.000143846360128668,0.175815927375605,3.47415885879486e-14
"ITGA2",0.147032314064112,0.000124110678127254,-0.0790973577770808,0.00043852049990622
"PLAU",0.134355076734648,0.0088979156117583,-0.366915204389399,1.14796739163248e-33
"FAM120A",0.122893184500906,0.00024388273089702,-0.0773409405949968,8.46611363477855e-05
"TCF12",0.122296039746383,0.00200068088822172,-0.287747759011149,8.37348946520113e-35
"EGFR",0.118849445831113,0.0034118411536772,-0.217565334934013,9.20212528516519e-20
"PUM3",0.118747835277468,0.00111909638424555,-0.370794581369348,1.02812437602319e-65
"TGFBR2",0.117766782275421,0.00172753938399415,0.007977788035319,0.717670565367354
"NCKAP1",0.11536215906827,0.000442841870635348,-0.160642222014609,9.57717656422674e-17
"AKAP12",0.114412439572573,0.013677060875021,-0.21603644700671,2.60595810296881e-15
"SLC20A1",0.11219918477279,0.00365615807383284,0.0251940112373947,0.266330842650498
"SLC4A7",0.106848340244541,0.00238206206143608,-0.126846852765564,8.5952978186932e-10
"SMURF2",0.10524190709997,0.0182058328212361,-0.026452324929379,0.312113118926584
"RANBP17",0.10495419429708,0.00373551525229297,0.0422777705467958,0.0466792303263973
"TTC28",0.104841790410911,0.00205226279151421,0.0316144806791355,0.113383434107511
"FUT8",0.103818302749093,0.0200509694057056,0.284504472527025,3.44241985355239e-27
"NPAS2",0.103745057265219,0.0102020536752648,0.0185341959280518,0.434434283519315
"S100A11",0.102738773337223,0.00421011734411943,-0.488590392483562,6.25421805057429e-114
"RAI14",0.102311678520142,0.00302635424669369,-0.0962007356451438,2.09234068855213e-06
"CDK17",0.101599010924085,0.00442061010817188,0.0391089272792904,0.0620400330044298
"FNDC3B",0.100851301682315,0.00576626806251176,0.0222723527738023,0.299075710933655
"COA1",0.10063299294439,0.00475204893330904,-0.214334157071961,2.02697157873652e-24
"BPTF",0.100320481106278,0.00214549235311047,-0.101313412780647,1.33653613280633e-07
"ITGB1",0.0993923282148233,0.00723785109255957,-0.12960389603005,2.58703767028481e-09
"C1GALT1C1",0.0990545066170596,2.42612616781037e-05,0.0959208373427927,3.60810489995075e-12
"PTPN12",0.0988223630372001,0.00338381723468131,0.0316895599416092,0.109489899806058
"CALU",0.0983478915216041,0.00382316271344246,-0.0866557135098411,1.44135600978415e-05
"APBB2",0.0980259500481516,0.00586329648589069,0.0197053895956095,0.345499135777353
"MIR31HG",0.0977196748255647,0.00581542681810094,-0.0758945156716271,0.000266003663156221
"ANTKMT",0.0975896093417598,0.000236098143955978,0.0755402116076575,1.27208604177642e-06
"SVIP",0.0974260401763225,0.00238872613886635,0.0319793175655423,0.0895331455083589
"ZCCHC7",0.0970742387663928,0.00848375087662224,-0.17781054439601,2.64159587294473e-16
"SNHG16",0.0967342916614313,0.00717771605367067,-0.366102204148425,1.09046805599378e-65
"WWTR1",0.0963152806869786,0.0225529890731722,0.082358425967849,0.000899788382744784
"CCND2",0.0955379861532495,0.000282355422289273,-0.117022010097299,4.06895239895516e-14
"JPT1",0.0942873426526577,0.0152472450522356,-0.136226328635778,2.49495174171543e-09
"MIR100HG",0.0942358457158638,0.0237312444986058,0.166600736064187,1.077472018248e-11
"FOCAD",0.0939041882579552,0.00161701864607663,-0.0946790662905684,6.36596203549497e-08
"COL4A2",0.09255510164971,0.00321022819703233,-0.250705637340353,1.72525058286473e-41
"TNRC6B",0.0924177476761602,0.00214109404363881,-0.000140224864184174,0.993669459883077
"MTX2",0.0920384757201458,0.00202921424364026,-0.140422225407847,1.26155500856026e-15
"PDIA4",0.0920242727597754,0.00492809038147957,-0.354979820469554,3.73864837860211e-74
"PLPP2",0.0918391508421411,0.000654594803758103,-0.040700103611055,0.0101090015556354
"NSUN2",0.0918318817689093,0.00284961503246213,-0.0078782796528953,0.662856118363224
"MAP4K4",0.0916144819116739,0.0234298053195221,0.290193222560826,5.7049630719087e-34
"SERPINE1",0.0911758735452613,0.0487117716404541,-0.123305836504717,5.74068772421199e-06
"SUMO2",0.0907239903382549,0.00458002510434938,-0.264656833318456,2.30163900502459e-44
"FAM155A",0.0906791942209833,0.0608346738418058,0.0602465363496038,0.0339495255269091
"TASOR2",0.0905599044617482,0.0099796171196065,0.0845147296424433,4.26815785822447e-05
"FAR1",0.0904639582524073,0.00292040619951309,0.036760980218281,0.0394456402563941
"RAD51B",0.0903835474277832,0.0281439858426764,0.108234404154061,7.70346155511517e-06
"CTNNA1",0.0893412110029027,0.00422142993074933,0.0668019777774329,0.000270723431630464
"NCAPD3",0.088666210621666,0.0037232736494554,-0.0233827919227817,0.192620855837368
"PIAS1",0.0882354844058785,0.00244339941270455,-0.128267017315951,7.11309426951335e-14
"THSD4",0.088231358147961,0.00979834417292762,-0.0689664051518208,0.000588547779939598
"NDUFC1",0.0881543896739238,0.0108470895736734,-0.155686459619734,2.10381716701355e-14
"EIF1",0.0880818181212726,0.0020139468530168,-0.494618655205081,3.90447534383e-179
"CEP128",0.0870957959910679,0.00131163108347618,-0.120845094728559,3.54478658514597e-14
"FRMD5",0.0866795756832459,0.0357042703368979,-0.370953942221278,6.47741977294176e-52
"MT-ND2",0.0862591730171922,0.00439717639931619,-0.14484439589877,4.52775274511354e-16
"NKTR",0.0861472581686622,0.0039661370693161,0.0527348223436308,0.00267677613032972
