"BE2_ranks","gene"
0.170359635758288,"OGN"
0.167440327468091,"LRRC41"
0.160046700846225,"FAM71D"
0.155877285217299,"ANKRD33B"
0.154805516883274,"DDX11"
0.154679014753873,"THOP1"
0.154650069296736,"CSRNP3"
0.15132717552474,"PER1"
0.149081933183007,"POC1B-AS1"
0.147224163716077,"PTCD3"
0.146781205045082,"KCNV2"
0.146703785440695,"INHBA"
0.146392014573604,"SNRNP25"
0.145018956638503,"RNF5"
0.144786182916494,"DROSHA"
0.144650284660688,"RBM33"
0.143120899840005,"TOPORS"
0.143009177880863,"RTKN2"
0.142166662346116,"PTRH2"
0.142009242514241,"HMGCR"
0.141056549391217,"TOP3A"
0.140304385428017,"PSMG2"
0.140176474071094,"THSD4"
0.140169714472979,"SAT1"
0.140107918209741,"SP3"
0.139814779575263,"UXT"
0.139032198574638,"EMX2OS"
0.138444851670955,"AC023509.6"
0.138283658008972,"AC008011.2"
0.138151117055897,"EPS8L1"
0.135559772101675,"AL161665.1"
0.135243570987036,"PAX9"
0.13451972232672,"AC100814.1"
0.134181324670751,"LINC02300"
0.134090229582072,"AKAP12"
0.133967211428648,"EIF3H"
0.133646503184171,"C9orf85"
0.133168904978283,"AL031705.1"
0.13296486536533,"CSAD"
0.132361104789779,"DIRAS1"
0.13198139764636,"COX10-AS1"
0.131491549617873,"ERMAP"
0.131356601428057,"COQ10B"
0.131100777381883,"ZNF319"
0.13084960895821,"AL662797.1"
0.130835963530844,"FGFRL1"
0.130578057818312,"RTEL1"
0.130261180152958,"CERS6-AS1"
0.129760177098999,"TRAK2"
0.129669541447855,"ASB1"
0.12961485010496,"RPA1"
0.129197113590876,"NALCN-AS1"
0.129112333166479,"L3HYPDH"
0.128963179902948,"COL18A1"
0.128175972659501,"MLLT6"
0.127699334993214,"LINC02067"
0.127390584334933,"SLC25A32"
0.127057780787571,"LEF1"
0.126662862726811,"TBC1D8"
0.126440010549769,"FDFT1"
0.126110327167673,"PUM3"
0.125968689862401,"RFPL4A"
0.125141728263471,"LINC00884"
0.124974999543457,"TMEM41B"
0.124727828937326,"SRCAP"
0.124638297995068,"AC006369.1"
0.1245841426879,"NXN"
0.124395895401323,"TLX1"
0.124271098154858,"NUCB1"
0.12418900335792,"AC019080.1"
0.124110961379002,"NBPF9"
0.124100820348162,"ICE1"
0.123721343299667,"ZMYND10"
0.123491081407647,"SYT9"
0.123107365138475,"ERI1"
0.122531545463545,"AXIN2"
0.122438712809558,"MYRF"
0.122394590295013,"OSBPL9"
0.121971190655207,"AC130469.1"
0.12194516882253,"TNXB"
0.121880987747205,"ATP10D"
0.121772285344834,"AC012615.1"
0.121721902748189,"AL118516.1"
0.12149002385865,"SS18"
0.121195385079988,"HLA-DRB1"
0.12098051206195,"PCBP2"
0.120663897894933,"TWSG1"
0.120530150569216,"CTSZ"
0.120352581276987,"AC145207.5"
0.120333450435846,"BTG2"
0.120281775549433,"PLEKHM1"
0.120143338707034,"FAM49B"
0.119582673486841,"ARMT1"
0.119576285169877,"B4GALT1"
0.119551717428908,"CLCN7"
0.119506659740582,"ARF5"
0.119353521195075,"SUMO2"
0.119325554563374,"AL096794.1"
0.118947482802679,"GRIK4"
0.118323753062626,"CROCC"
0.118319092133323,"AL390957.1"
0.11831304645203,"THBS1"
0.118184590068398,"NDUFA9"
0.117893641270834,"PIGU"
0.117452939355099,"HPD"
0.117157393106055,"ZNHIT6"
0.117067814941194,"KRTAP4-8"
0.116724256713501,"TPMT"
0.116609524036072,"EIF4G1"
0.116558528148578,"PNPLA1"
0.116438346049534,"SHISA4"
0.116429177045803,"AL512791.2"
0.116296825108546,"ARHGAP23"
0.116109537225471,"CRIP2"
0.115981098692442,"TRIO"
0.115766963788039,"SCAT2"
0.115724978080052,"LDLRAD3"
0.115583887559851,"ARAP3"
0.1154925963122,"SNX32"
0.115459884900618,"TAGLN"
0.115097823379221,"MBOAT2"
0.114802333826479,"TTC14"
0.114660479437618,"SLC8A1"
0.114650703406708,"STUB1"
0.11451000668428,"KRTAP4-9"
0.114473787239349,"NFATC2IP"
0.113901770609822,"CNOT3"
0.113672329238929,"C6orf141"
0.113334455626265,"SLC38A1"
0.113265797781134,"DNAJC6"
0.113227646097,"SLC2A11"
0.112878032998527,"CADM1"
0.112699883894898,"FBXO8"
0.11269835415184,"SCOC-AS1"
0.112602855228758,"SLFNL1"
0.11243709403238,"SEPTIN4"
0.112256271191868,"RHOBTB1"
0.112175410411941,"AIFM1"
0.112174979252815,"RIN2"
0.112163763736554,"LINC00592"
0.112109533020967,"RASAL2-AS1"
0.112081429956238,"TPM1-AS"
