"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX","2.65640898820909e-08",0.000271724075403908,"0.73376198835648","-0.374280969688467","-1.91300559157491","286","c(""MT-CO1"", ""MT-CO2"", ""MT-ND4"", ""MT-ND5"", ""MT-CO3"", ""MT-ATP6"", ""MRPL43"", ""UQCRB"", ""MRPS9"", ""TIMM29"", ""COX5A"", ""MRPL3"", ""MT-ND3"", ""MT-ND1"", ""GRPEL2"", ""MCUB"", ""MRPS12"", ""IMMP1L"", ""MT-ATP8"", ""MRPL4"", ""TOMM7"", ""MRPL27"", ""MT-ND2"", ""MRPS10"", ""TIMM22"", ""HADHA"", ""PRORP"", ""NDUFV2"", ""NDUFA13"", ""UQCR11"", ""TRMT10B"", ""NDUFC2"", ""NDUFB2"", ""NDUFS2"", ""TIMM13"", ""POLRMT"", ""SMDT1"", ""PAM16"", ""MRPL10"", ""MRPL28"", ""TOMM22"", ""MT-CYB"", ""AGK"", ""IDH3G"", ""NDUFS3"", ""NDUFV3"", ""TOMM40L"", ""MRPS16"", ""MRPS24"", ""MRPL57"", ""MRPS2"", ""IMMP2L"", 
""MRPL9"", ""MRPS15"", ""TIMM44"", ""MRPS34"", ""MRPL37"", ""MRPS11"", ""MICU2"", ""AURKAIP1"", ""TIMM23B"", ""MRPL41"", ""NDUFB6"", ""MRPL49"", ""TIMM17A"", ""TOMM6"", ""MRPL22"", ""MICU3"", ""MRPL21"", ""NDUFB7"", ""MTERF4"", ""MICU1"", ""TIMM8A"", ""FXN"", ""PMPCB"", ""NFS1"", ""COX6C"", ""TOMM70"", ""MRPL46"", ""TIMM17B"", ""ATP5PD"", ""POLG2"", ""MRPL45"", ""SUPV3L1"", ""ATP5F1C"", ""SAMM50"", ""NDUFA6"", ""BCKDHB"", ""PDHA1"", ""NDUFA12"", ""HSPA9"", ""MRPL1"", ""MTX1"", ""TIMM50"", ""FOXRED1"", ""NDUFA4L2"")"
"GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX","9.61452312094724e-07",0.00327823190013898,"0.643551836150722","-0.419715900051647","-1.99708953239189","146","c(""MT-CO1"", ""MT-CO2"", ""MT-ND4"", ""MT-ND5"", ""MT-CO3"", ""MT-ATP6"", ""UQCRB"", ""TIMM29"", ""COX5A"", ""MT-ND3"", ""MT-ND1"", ""GRPEL2"", ""MCUB"", ""IMMP1L"", ""MT-ATP8"", ""MT-ND2"", ""TIMM22"", ""NDUFV2"", ""NDUFA13"", ""UQCR11"", ""TRMT10B"", ""NDUFC2"", ""NDUFB2"", ""NDUFS2"", ""SMDT1"", ""PAM16"", ""MT-CYB"", ""AGK"", ""NDUFS3"", ""NDUFV3"", ""IMMP2L"", ""TIMM44"", ""MICU2"", ""TIMM23B"", ""NDUFB6"", ""TIMM17A"", ""MICU3"", ""NDUFB7"", ""MICU1"", ""COX6C"", ""TIMM17B"", ""ATP5PD"", ""ATP5F1C"", ""SAMM50"", ""NDUFA6"", ""NDUFA12"", ""HSPA9"", ""MTX1"", ""TIMM50"", ""FOXRED1"", ""NDUFA4L2"", 
""MCU"", ""UQCRFS1"", ""NDUFA11"")"
"GOMF_OXIDOREDUCTION_DRIVEN_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","8.30673413479332e-07",0.00327823190013898,"0.659444398037935","-0.527637396224119","-2.18530562499764","67","c(""MT-CO1"", ""MT-CO2"", ""MT-ND4"", ""MT-ND5"", ""MT-CO3"", ""UQCRB"", ""COX5A"", ""CYB561A3"", ""MT-ND3"", ""MT-ND1"", ""MT-ND2"", ""NDUFV2"", ""NDUFC2"", ""NDUFB2"", ""NDUFS2"", ""MT-CYB"", ""NDUFS3"", ""SURF1"", ""NDUFV3"")"
"GOCC_MITOTIC_SPINDLE","1.19123520975241e-05",0.0304628624013935,"0.593325476396405","-0.382346768400058","-1.84694336744369","165","c(""TUBB3"", ""POLDIP2"", ""TADA3"", ""PLK1"", ""AURKB"", ""HAUS4"", ""CENPE"", ""EML2"", ""ESPL1"", ""AURKA"", ""TUBB4A"", ""KIF23"", ""SMC1A"", ""TAF1D"", ""SMC3"", ""PHLPP2"", ""FLCN"", ""RTRAF"", ""SPOUT1"", ""GIT1"", ""WDR62"", ""BCCIP"", ""AGBL5"", ""HAUS1"", ""HAUS5"", ""SKA1"", ""HAUS7"", ""CCDC117"", ""NCOR1"", ""KAT5"", ""MAD2L1"", ""NEIL2"", ""CAPG"", ""TUBG1"", ""CDC27"", ""CKAP2L"", ""NEXMIF"", ""CNTRL"", ""NUP62"", ""AAAS"", ""FAM83D"", ""NUMA1"", ""TUBB2A"", ""KIFC2"", ""PRC1"", ""KIF11"", ""KATNA1"", ""NEDD9"", ""KAT2A"", ""KIFC1"", ""PKP4"", ""TUBB4B"", ""ATAT1"", ""TUBB6"", ""KNSTRN"", 
""DCDC2"", ""RANGAP1"", ""NGRN"", ""CDC7"", ""TNKS"", ""KATNBL1"", ""ECT2"", ""WAPL"", ""RPS3"", ""NUDCD2"")"
"GOCC_RIBOSOMAL_SUBUNIT","1.83210822012102e-05",0.0312343916393631,"0.575610261071129","-0.373390738523186","-1.8128456068266","177","c(""RPS4X"", ""MRPL43"", ""MRPS9"", ""MRPL3"", ""MRPS12"", ""RPL36"", ""MRPL4"", ""RPL36AL"", ""MRPL27"", ""RPL34"", ""RPLP0"", ""RPS27A"", ""RPL6"", ""MRPS10"", ""RPL7"", ""RPS9"", ""RPL30"", ""RPS24"", ""MRPL10"", ""MRPL28"", ""RPS13"", ""RPL36A"", ""RPLP2"", ""MRPS16"", ""MRPS24"", ""MRPL57"", ""UBA52"", ""RPL17"", ""MRPS2"", ""RPS15"", ""RPL7L1"", ""MRPL9"", ""MRPS15"", ""MRPS34"", ""MRPL37"", ""MRPS11"", ""RPL11"", ""RPL29"", ""RPS8"", ""AURKAIP1"", ""MRPL41"", ""MRPL49"", ""RPL41"", ""MRPL22"", ""MRPL21"", ""RPS19"", ""MTERF4"", ""RPS12"", ""ZCCHC17"", ""RPL14"", ""MRPL46"", ""RPS5"", ""RPL4"")"
"GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME","1.76623410432821e-05",0.0312343916393631,"0.575610261071129","-0.387107081195176","-1.85928592991284","158","c(""RPS4X"", ""MRPL43"", ""MRPS9"", ""MRPL3"", ""MRPS12"", ""RPL36"", ""MRPL4"", ""RPL36AL"", ""MRPL27"", ""RPL34"", ""RPLP0"", ""RPS27A"", ""RPL6"", ""RPL7"", ""RPS9"", ""RPL30"", ""RPS24"", ""MRPL10"", ""MRPL28"", ""RPS13"", ""RPL36A"", ""RPLP2"", ""MRPS16"", ""MRPS24"", ""MRPL57"", ""UBA52"", ""RPL17"", ""MRPS2"", ""RPS15"", ""RPL7L1"", ""MRPL9"", ""MRPS15"", ""MRPS34"", ""MRPL37"", ""MRPS11"", ""RPL11"", ""RPL29"", ""RPS8"", ""MRPL41"", ""MRPL49"", ""RPL41"", ""MRPL22"", ""MRPL21"", ""RPS19"")"
"GOBP_CIRCULATORY_SYSTEM_PROCESS","3.0594217569635e-05",0.0447068930742567,"0.557332238758646","0.261862264440356","1.52038744518739","444","c(""AKAP12"", ""TBC1D8"", ""CTSZ"", ""SLC8A1"", ""SLC38A1"", ""PDE5A"", ""RYR2"", ""TTN"", ""SLC6A6"", ""PTPRJ"", ""FGF13"", ""GNAI2"", ""SLC1A4"", ""GNA13"", ""PIK3C2A"", ""CPS1"", ""PDE2A"", ""SLC44A1"", ""EMP2"", ""SCN4B"", ""GJC1"", ""HRH2"", ""CAMK2D"", ""GATA6"", ""ID2"", ""WNK1"", ""KCNJ3"", ""CD36"", ""EMILIN2"", ""PIK3CA"", ""TJP1"", ""SLC1A3"", ""NPY"", ""MAP2K6"", ""OXTR"", ""NEDD4L"", ""ZDHHC21"", ""PCSK5"", ""SLC1A1"", ""NUP155"", ""EPAS1"", ""WWTR1"", ""ADRA2A"", ""SLC6A4"", ""SLC2A13"", ""OPRL1"", ""KCNK6"", ""ABCC2"", ""SCPEP1"", ""STK39"", ""TJP3"", ""ADM"", ""TEK"", ""GRK2"", ""SLC29A4"", 
""DSG2"", ""ABCC5"", ""LRP5"", ""SHOX2"", ""SLC5A3"", ""PTP4A3"", ""PDE4D"", ""PKP2"", ""OLR1"", ""CALM3"", ""TMEM161B"", ""KCNMB4"", ""SLCO1C1"", ""ERAP1"", ""ROCK1"", ""CDH5"", ""ATP1B2"", ""ADORA1"", ""AR"", ""NPR2"", ""KCNIP2"", ""ATP8A1"", ""CCN2"", ""GJA1"", ""SMAD7"", ""LNPEP"", ""PER2"", ""SRI"", ""CBS"", ""KCNJ12"", ""ADORA2A"", ""FYN"", ""SLC7A2"", ""YES1"", ""DRD2"", ""GLRX3"", ""NPPB"", ""KCNQ1"", ""NAV2"", ""ABCG2"", ""EXT1"", ""CELF2"", ""TPM1"", ""CHRM2"", ""MYLK3"", ""AKAP9"", ""GLP1R"", ""FOXC1"", ""DLL1"", ""MEF2A"", ""NPR1"", ""DES"", ""KCNMB2"", ""AKAP13"", ""CYB5R3"", ""SVEP1"", ""HTR7"", 
""BVES"", ""KCNN2"", ""ADM2"", ""KCNJ2"", ""ABCC8"", ""PDE3A"", ""CACNA1D"", ""RGS2"", ""GCH1"", ""DMPK"", ""ADH5"", ""P2RX4"")"
"GOCC_CYTOSOLIC_RIBOSOME","5.82535609624373e-05",0.0662084083427523,"0.557332238758646","-0.431394973706673","-1.90920319633468","92","c(""RPS4X"", ""RPL36"", ""RPL36AL"", ""RPL34"", ""RPLP0"", ""RPS27A"", ""RPL6"", ""RPL7"", ""RPS9"", ""RPL30"", ""RPS24"", ""RPS13"", ""RPL36A"", ""RPLP2"", ""UBA52"", ""RPL17"", ""RPS15"", ""RPL7L1"", ""RPL11"", ""RPL29"", ""RPS8"", ""RPL41"", ""RPS19"", ""RPS12"", ""ZCCHC17"", ""RPL14"", ""RPS5"", ""RPL4"", ""RPL3"", ""RPL26"", ""RPS10"", ""DHX29"", ""RPL32"", ""RPL31"", ""RPS25"", ""RPS27"", ""RPS3"", ""RPSA"", ""APOD"", ""FXR2"", ""RPL8"")"
"GOCC_RESPIRASOME","5.59222685660717e-05",0.0662084083427523,"0.557332238758646","-0.434516638088602","-1.91918607789796","91","c(""MT-CO1"", ""MT-CO2"", ""MT-ND4"", ""MT-ND5"", ""MT-CO3"", ""UQCRB"", ""COX5A"", ""MT-ND3"", ""MT-ND1"", ""MT-ND2"", ""NDUFV2"", ""NDUFA13"", ""UQCR11"", ""NDUFC2"", ""NDUFB2"", ""NDUFS2"", ""MT-CYB"", ""NDUFS3"", ""SURF1"", ""NDUFV3"")"
"GOMF_PRIMARY_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","8.30054836202666e-05",0.0849063091951707,"0.538434096309916","-0.369573837866692","-1.76776715741613","151","c(""MT-CO1"", ""MT-CO2"", ""MT-ND4"", ""MT-ND5"", ""MT-CO3"", ""ATP6V0D1"", ""UQCRB"", ""COX5A"", ""CYB561A3"", ""ABCB6"", ""MT-ND3"", ""ABCA12"", ""MT-ND1"", ""ABCA3"", ""MT-ND2"", ""ATP6V1A"", ""NDUFV2"", ""NDUFC2"", ""NDUFB2"", ""NDUFS2"", ""ATP6V1C2"", ""ATP13A5"", ""MT-CYB"", ""ATP2B1"", ""NDUFS3"", ""SURF1"", ""NDUFV3"", ""ATP6V1B2"", ""ABCD1"", ""ATP2A1"", ""ATP7A"", ""CYB561D2"", ""ABCB5"", ""NDUFB6"", ""ATP2C1"", ""KCNJ8"", ""NDUFB7"", ""ATP6V0C"", ""ABCB10"", ""ATP13A1"", ""ATP6V0E2"")"
