"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_KILLING_OF_CELLS_OF_ANOTHER_ORGANISM","2.67034083272695e-07",0.00271813993363276,"0.674962860011025","-0.864330395204233","-2.00803990760869","47","c(""HMGN2"", ""GAPDH"", ""RPL30"", ""RPS19"")"
"GOBP_ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE","2.98776114237897e-06",0.0152062103341378,"0.627256739718528","-0.7896318279565","-1.93272648765327","73","c(""HMGN2"", ""GAPDH"", ""FAU"", ""RPL30"", ""RPS19"")"
"GOCC_CELL_LEADING_EDGE","1.5787764017744e-05",0.0535678833122053,"0.575610261071129","0.553567690361277","1.51598667369627","421","c(""S100A6"", ""EGFR"", ""NCKAP1"", ""S100A11"", ""ITGB1"", ""APBB2"", ""CTNNA1"", ""TPM1"", ""RAB34"", ""PTPRM"", ""PTPRK"", ""PKN2"", ""CDC42BPB"", ""BCAR1"", ""CTTN"", ""PTPRJ"", ""RAC3"", ""ANTXR1"", ""TUBG1"", ""TLN1"", ""PLEKHO1"", ""SLK"", ""KIF18A"", ""ABLIM1"", ""PARVB"", ""MYO5A"", ""SLC39A6"", ""ITGAV"", ""PLCG2"", ""FERMT1"", ""PXN"", ""CDK6"", ""CDC42BPA"", ""ARF4"", ""CTNNB1"", ""EPS8"", ""NME1"", ""GBF1"", ""TRPM7"", ""PDLIM4"", ""TWF1"", ""ABI2"", ""CTNND1"", ""MYH10"", ""ARPIN"", ""SPRY2"", ""WIPF1"", ""PTPN13"", ""MTMR14"", ""ARHGEF7"", ""DLC1"", ""MYADM"", ""RASA1"", ""WWC1"", ""ARPC2"", 
""CDH2"", ""SSH1"", ""ARHGAP31"", ""FRMD4B"", ""LDB2"", ""PHACTR4"", ""DAG1"", ""SLC9A3R1"", ""INPPL1"", ""CYTH3"", ""EZR"", ""JMY"", ""PODXL"", ""ITGB1BP1"", ""HAX1"", ""STX4"", ""ERBB2"", ""ARHGEF2"", ""PALLD"", ""RDX"", ""SNX2"", ""BCAS3"", ""APP"", ""INPP5E"", ""CDK5"", ""ITGA5"", ""TIAM2"", ""ITGB3"", ""LIMK1"", ""STX3"", ""SPTBN1"", ""ADGRV1"", ""PAK1"", ""PLEKHG5"", ""CAPZB"", ""CIB1"", ""TWF2"", ""SRC"", ""GABBR1"", ""WASF2"", ""SLC12A5"", ""CDKL5"", ""ARHGAP18"", ""ATP6V1B2"", ""AAK1"", ""THEM4"", ""CSPG4"", ""RAB13"", ""DBNL"", ""MYO10"", ""MYO1D"", ""APBB1IP"", ""ARFIP2"", ""WASF1"", ""ATF4"", 
""ARHGEF26"", ""APPL1"", ""IQGAP2"", ""RAB22A"", ""DNM2"", ""PLEK2"", ""CLASP2"", ""PHLDB2"", ""SH3RF1"", ""COBL"", ""PIEZO1"", ""AKT1"", ""EPB41L5"", ""WASF3"", ""MYO9B"", ""ABLIM3"", ""OPRD1"", ""CARMIL1"", ""SSX2IP"", ""TSC1"", ""APBB1"", ""DPYSL3"", ""SCYL3"", ""BRK1"", ""MYLK"", ""EVL"", ""CD2AP"", ""EPB41L3"", ""PLEKHA1"", ""EPHA2"", ""KSR1"", ""FGD1"", ""IFIT5"", ""HIP1R"", ""PSD3"", ""SRGAP2"", ""ACAP2"", ""ARF1"", ""PIP5K1A"", ""KANK1"", ""ARHGAP44"", ""ARAP3"")"
"GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS","3.36203986884667e-05",0.0736822921681569,"0.557332238758646","-0.486400545988201","-1.45981579458027","435","c(""SF3B5"", ""MRPS2"", ""DDX18"", ""RPP30"", ""SNRPC"", ""ERI3"", ""RPL7"", ""SNRPB"", ""DDX3X"", ""WBP11"", ""RPUSD1"", ""GTF3A"", ""DENR"", ""EIF3B"", ""PUF60"", ""LSM4"", ""EXOSC5"", ""SF1"", ""KRR1"", ""MRM2"", ""RBIS"", ""EIF3G"", ""SF3A2"", ""REXO4"", ""EIF3E"", ""CHD7"", ""SF3B1"", ""EIF3D"", ""EBNA1BP2"", ""NIFK"", ""FBL"", ""NOC2L"", ""RPS15"", ""MYBBP1A"", ""RBM5"", ""RPL6"", ""SNRPB2"", ""SNRPD1"", ""GTPBP4"", ""MRM3"", ""PA2G4"", ""LYAR"", ""EIF2S3"", ""SF3A3"", ""AAR2"", ""PHF5A"", ""RPS24"", ""SRSF9"", ""ERI1"", ""SNRNP200"", ""WDR46"", ""EIF3M"", ""RAN"", ""TMA16"", ""IMP3"", ""WDR77"", ""SNRPF"", 
""SRSF10"", ""DDX1"", ""DKC1"", ""RIOK3"", ""C1D"", ""NSA2"", ""LSM6"", ""EIF3J"", ""SF3B4"", ""DDX56"", ""RPS19"", ""RPS21"", ""RRP36"", ""SURF6"", ""GLUL"", ""RPL26L1"", ""EIF5"", ""ABT1"", ""YBEY"", ""GTPBP10"", ""DIS3"", ""UTP18"", ""EIF6"", ""TFB1M"", ""NGDN"", ""YTHDF2"", ""RPL35"", ""EIF3I"", ""MRPS11"", ""AGO3"", ""NOB1"", ""NOL10"", ""GTF2H5"", ""RPS9"", ""SNRPD3"", ""CRNKL1"", ""RPP25"", ""NSUN5"", ""RPS17"", ""GEMIN4"", ""UTP4"", ""RPL26"", ""TSSC4"", ""DDX23"", ""RRP9"", ""WDR18"", ""RPS8"", ""ERCC2"", ""XPO1"", ""SNRPA1"", ""SF3B2"", ""NOP16"", ""NUFIP1"", ""CLNS1A"", ""NUP88"", ""PAK1IP1"", ""PRMT7"", 
""NOLC1"", ""C1orf109"", ""RPL11"", ""NAT10"", ""YTHDC1"", ""DIMT1"", ""TSR3"", ""DROSHA"", ""RPS5"", ""GCFC2"", ""XAB2"", ""RPSA"", ""RPL5"", ""NPM3"", ""URB1"", ""UTP25"", ""SART1"", ""PDCD11"", ""NHP2"", ""MPHOSPH10"", ""USP39"", ""ISG20L2"", ""METTL16"", ""UTP3"", ""GNL3L"", ""RPL7L1"", ""SRPK2"", ""TSR1"", ""NAF1"", ""SRFBP1"", ""TRMT112"", ""STRAP"", ""TGS1"", ""EIF3H"", ""EXOSC2"", ""WDR55"", ""ZCCHC4"", ""YJU2"", ""CPSF7"", ""DDX51"", ""RPS14"", ""NOP56"", ""SART3"", ""GNL2"", ""WDR36"", ""MTG2"", ""SF3A1"", ""ZNF658"", ""EIF3K"", ""RPL14"", ""DDX54"", ""USP36"", ""BUD23"", ""NOL11"", ""RPL27"", 
""SNRPD2"", ""NOP10"")"
"GOCC_PROTEIN_COMPLEX_INVOLVED_IN_CELL_ADHESION","3.6193286260024e-05",0.0736822921681569,"0.557332238758646","0.791350853352055","1.77351863456728","57","c(""ITGA2"", ""PLAU"", ""ITGB1"", ""ITGA3"", ""ITGA6"", ""PLAUR"", ""ITGAV"", ""ITGA4"", ""LAMC1"", ""LAMB1"", ""LGALS1"", ""TNC"", ""LYN"", ""ITGA1"", ""ITGA5"", ""ITGB3"", ""EMILIN2"", ""ITGA11"")"
"GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX","4.54185601233294e-05",0.0760626854349715,"0.557332238758646","-0.529610430308218","-1.53170919950352","292","c(""MT-CO1"", ""MT-ND5"", ""MT-CO2"", ""MT-CO3"", ""MT-ATP6"", ""UQCRFS1"", ""MT-CYB"", ""HADHA"", ""BAX"", ""MRPS2"", ""MRPL41"", ""PMPCA"", ""ATP5F1C"", ""NDUFV3"", ""MRPS18B"", ""ATP5MF"", ""IDH3B"", ""MT-ATP8"", ""MT-ND4"", ""TOMM40"", ""MRPS18A"", ""MCU"", ""ATP5F1D"", ""NDUFB9"", ""SUCLG1"", ""IDH3G"", ""SUCLG2"", ""TIMM10B"", ""AURKAIP1"", ""UQCRB"", ""COX8A"", ""TIMM13"", ""MRPS5"", ""MRPL4"", ""MT-ND1"", ""NDUFC2"", ""TOMM22"", ""NDUFA11"", ""MT-ND6"", ""PPIF"", ""MRPS34"", ""MRPS28"", ""MRPL35"", ""ATP5MG"", ""COX6C"", ""IMMP1L"", ""GRPEL2"", ""MRPS26"", ""MRPL28"", ""DBT"", ""MRPS12"", 
""VDAC1"", ""MRPS9"", ""TOMM6"", ""TOMM5"", ""MRPL37"", ""PRORP"", ""MRPL27"", ""ATP5F1B"", ""NDUFS6"", ""MRPL42"", ""MRPL13"", ""TOMM7"", ""CYC1"", ""MRPL43"", ""NDUFS5"", ""NDUFS7"", ""BCS1L"", ""MRPL18"", ""MRPL40"", ""PMPCB"", ""MRPL2"", ""UQCRQ"", ""NDUFB5"", ""MRPS11"", ""NDUFB3"", ""POLG2"", ""MRPL10"", ""PDHX"", ""SAMM50"", ""NDUFA7"", ""DNAJC15"", ""HADHB"", ""MRPL21"", ""TIMM10"", ""ATP5MC1"", ""FXN"", ""MRPL1"", ""APOO"", ""DLAT"", ""COX5A"")"
"GOMF_PROTON_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","5.23075742258376e-05",0.0760626854349715,"0.557332238758646","-0.624848845802474","-1.6642912923437","138","c(""MT-CO1"", ""MT-CO2"", ""MT-CO3"", ""MT-ATP6"", ""UQCRFS1"", ""MT-CYB"", ""ATP5F1C"", ""ATP5MF"", ""ATP6V1D"", ""MT-ATP8"", ""ATP5F1D"", ""SLC16A1"", ""UQCRB"", ""COX8A"", ""ATP5MG"", ""ATP6V0C"", ""ATP6V0B"", ""ATP5F1B"", ""DMAC2L"", ""SURF1"", ""CYC1"", ""CHP1"", ""SLC25A3"", ""ATP5MC1"", ""LETM1"", ""COX5A"", ""ATP6V1A"", ""ATP5PF"", ""TMEM175"", ""ATP6V1E2"", ""UQCRH"", ""ATP6V1F"", ""UCP2"", ""ATP5MC3"", ""ATP6V1C2"", ""ATP5F1E"", ""UQCRHL"", ""SLC25A4"", ""TCIRG1"", ""SLC2A10"", ""COX5B"", ""ATP5MGL"", ""SLC17A5"", ""COX7B"", ""SLC9A7"", ""ATP6V0D2"", ""ATP5MC2"")"
"GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE","6.59857057978919e-05",0.0839585624145927,"0.538434096309916","0.547209808618551","1.48257330602146","367","c(""ITGA2"", ""SERPINE1"", ""STK39"", ""IL1B"", ""CTSC"", ""FANCA"", ""PTPN2"", ""IER3"", ""CD81"", ""SMAD3"", ""PLCG2"", ""MGLL"", ""RICTOR"", ""FYN"", ""NDFIP1"", ""SPHK1"", ""ZYX"", ""NFKB1"", ""CD47"", ""LRFN5"", ""ADAMTS12"", ""RABGEF1"", ""NFKBIA"", ""LGALS1"", ""FABP4"", ""IL6ST"", ""RORA"", ""TNC"", ""LDLR"", ""BCR"", ""LYN"", ""CDK19"", ""VAMP3"", ""CEBPB"", ""SEMA7A"", ""CASP4"", ""GPX4"", ""DAGLB"", ""ASH1L"", ""RIPK1"", ""APP"", ""SOCS5"", ""FBXL2"", ""TRADD"", ""MDK"", ""SHPK"", ""GPS2"", ""TNFAIP3"", ""SRC"", ""RHBDD3"", ""PARK7"", ""NMI"", ""TNFRSF1A"", ""TNIP1"", ""HLA-E"", ""LPL"", ""TNFRSF1B"", 
""NFKBIZ"", ""YES1"", ""MMP9"", ""PPARA"", ""MFHAS1"", ""ADAM8"", ""GRN"", ""NR1D1"", ""BIRC3"", ""SBNO2"", ""PLK2"", ""RHBDF2"", ""AGTR1"", ""CLOCK"", ""DUSP10"", ""BIRC2"", ""LACC1"", ""RELA"", ""CELF1"", ""PLA2G7"", ""TMSB4X"", ""VPS35"", ""OSMR"", ""PSMB4"", ""HLA-DRB1"", ""IL15"", ""SYK"", ""TYRO3"", ""APOE"", ""SLC39A8"", ""CD200"", ""PSMA6"", ""VAMP2"", ""PIK3AP1"", ""BST1"", ""FANCD2"", ""GPR4"", ""UFL1"", ""BRD4"", ""SPATA2"", ""DAGLA"", ""GPER1"", ""PDCD4"", ""LPCAT3"", ""TLR4"", ""PTGS2"", ""CARD16"", ""NLRX1"", ""CALCRL"", ""LRRK2"", ""SYT11"")"
"GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE","9.55235682752861e-05",0.108037155719349,"0.538434096309916","0.553401051445574","1.48290313747833","324","c(""DHX36"", ""IL1B"", ""MSH6"", ""CD81"", ""DDX21"", ""CAMK4"", ""B2M"", ""MCM3AP"", ""ATAD5"", ""PLCG2"", ""MSH3"", ""RNF168"", ""POLQ"", ""EXOSC6"", ""NDFIP1"", ""RIF1"", ""HLA-A"", ""CYREN"", ""DENND1B"", ""MAPKAPK2"", ""RABGEF1"", ""TRAF6"", ""VAMP3"", ""SMAD7"", ""SLC7A5"", ""SLC15A4"", ""SEMA7A"", ""MAP3K7"", ""STX4"", ""MALT1"", ""IL4R"", ""HMOX1"", ""THOC1"", ""SUPT6H"", ""HLA-E"", ""KMT5B"", ""MSH2"", ""TICAM1"", ""PRKDC"", ""ERCC1"", ""TNFRSF1B"", ""NFKBIZ"", ""TRPM4"", ""TFRC"", ""PANX1"", ""NHEJ1"", ""HFE"", ""RIPK2"", ""TICAM2"", ""SAMHD1"", ""LACC1"", ""HK1"", ""XBP1"", ""PMS2"", ""CD55"", 
""HLA-DRB1"", ""TGFB2"", ""DNAJB9"", ""SYK"", ""EXO1"")"
"GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY","0.000116883119193328",0.108438676715667,"0.538434096309916","-0.472770442368787","-1.42364620069853","496","c(""MT-CO1"", ""MT-ND5"", ""MT-CO2"", ""MT-CO3"", ""MT-ATP6"", ""PGAM1"", ""UQCRFS1"", ""MT-CYB"", ""BLOC1S1"", ""ETFB"", ""ATP5F1C"", ""NDUFV3"", ""ATP5MF"", ""IDH3B"", ""MT-ATP8"", ""ASPH"", ""MT-ND4"", ""ARL2"", ""ATP5F1D"", ""PHKA1"", ""GAPDH"", ""NDUFB9"", ""SUCLG1"", ""IDH3G"", ""SUCLG2"", ""UQCRB"", ""TALDO1"", ""GLRX2"", ""COX8A"", ""MT-ND1"", ""NDUFC2"", ""G6PD"", ""AKT2"", ""NDUFA11"", ""MT-ND6"", ""ADSL"", ""PPIF"", ""MYBBP1A"", ""AKR7A2"", ""ATP5MG"", ""SELENOS"", ""PPP1R2"", ""COX6C"", ""GFPT2"", ""FDX1"", ""CYBA"", ""PINK1"", ""PPP1CA"", ""ATP5F1B"", ""NDUFS6"", ""TKT"", ""ADH5"", ""SURF1"", 
""INSR"", ""CYC1"", ""HK2"", ""NDUFS5"", ""GPI"", ""UGP2"", ""SLC25A23"", ""NDUFS7"", ""EIF6"", ""RPIA"", ""SLC2A6"", ""PGLS"", ""AKR1B1"", ""UQCC3"", ""UQCRQ"", ""SOD2"", ""NDUFB5"", ""GFPT1"", ""NDUFB3"", ""POLG2"", ""CAT"", ""FOXK1"", ""GSR"", ""ACADM"", ""DYRK2"", ""NDUFA7"", ""TP53"", ""ALDH4A1"", ""DNAJC15"", ""TMEM135"", ""MTFR1L"", ""VGF"", ""FH"", ""STK40"", ""ATP5IF1"", ""IRS2"", ""FXN"", ""ENO1"", ""SDHAF2"", ""DLAT"", ""CS"", ""CHCHD2"", ""COX5A"", ""ATP5PF"", ""COQ10A"", ""PPARD"", ""SDHA"", ""XYLB"", ""ETFRF1"", ""UQCRH"", ""PGM1"", ""INPP5K"", ""UCP2"", ""MTOR"", ""CIAPIN1"", ""PHKG2"", ""CISD1"", 
""C2orf69"", ""CDK1"", ""CHCHD5"", ""THAP11"", ""DHRS3"", ""NDUFA6"", ""RHOA"", ""ACO2"", ""NOX4"", ""PKM"", ""ATP5F1E"", ""ACO1"", ""TIGAR"", ""PGK1"", ""OGDHL"", ""UQCRHL"", ""PHB2"", ""MT-ND4L"", ""TRPV4"", ""GYG2"", ""IDH1"", ""UQCRC2"", ""IMMP2L"", ""P4HA2"", ""SLC25A4"")"
