"Compound","variable","value","t_test_HLTvsCT","p.adj.hllt","t_test_LLTvsCT","p.adj.lllt","t_test_LLTvsHHT","p.adj.hvl"
"Succinyl cysteine","High Heteroplasmy (25%) vs WT",1.87356072724827,0.000922326838227172,0.0147572294116347,7.17737103209654e-08,1.14837936513545e-06,7.21544854790476e-06,3.8482392255492e-05
"Glyceraldehyde 3-phosphate","High Heteroplasmy (25%) vs WT",1.83152535491273,0.00422108882566931,0.0168843553026773,2.14583663192278e-07,1.71666930553823e-06,5.72216362080461e-07,9.15546179328737e-06
"Argininosuccinate","High Heteroplasmy (25%) vs WT",1.64030493051029,0.00292825127391011,0.0161698411192603,5.08393457054095e-05,0.000203357382821638,0.000783874518638375,0.00156774903727675
"Malate","High Heteroplasmy (25%) vs WT",1.60656255150211,0.00303184520986131,0.0161698411192603,2.55861754997915e-05,0.000136459602665555,3.30354467345235e-06,2.64283573876188e-05
"Glyceraldehyde 3-phosphate","High Heteroplasmy (25%) vs Low Heteroplasmy (9%)",1.48788951533342,0.00422108882566931,0.0168843553026773,2.14583663192278e-07,1.71666930553823e-06,5.72216362080461e-07,9.15546179328737e-06
"Succinyl cysteine","High Heteroplasmy (25%) vs Low Heteroplasmy (9%)",1.4311453530415,0.000922326838227172,0.0147572294116347,7.17737103209654e-08,1.14837936513545e-06,7.21544854790476e-06,3.8482392255492e-05
"Argininosuccinate","Low Heteroplasmy (9%) vs WT",1.3284249701095,0.00292825127391011,0.0161698411192603,5.08393457054095e-05,0.000203357382821638,0.000783874518638375,0.00156774903727675
"Succinyl cysteine","Low Heteroplasmy (9%) vs WT",1.30913378104226,0.000922326838227172,0.0147572294116347,7.17737103209654e-08,1.14837936513545e-06,7.21544854790476e-06,3.8482392255492e-05
"Malate","Low Heteroplasmy (9%) vs WT",1.27362575601432,0.00303184520986131,0.0161698411192603,2.55861754997915e-05,0.000136459602665555,3.30354467345235e-06,2.64283573876188e-05
"Malate","High Heteroplasmy (25%) vs Low Heteroplasmy (9%)",1.26140865471321,0.00303184520986131,0.0161698411192603,2.55861754997915e-05,0.000136459602665555,3.30354467345235e-06,2.64283573876188e-05
"Argininosuccinate","High Heteroplasmy (25%) vs Low Heteroplasmy (9%)",1.23477423822821,0.00292825127391011,0.0161698411192603,5.08393457054095e-05,0.000203357382821638,0.000783874518638375,0.00156774903727675
"Glyceraldehyde 3-phosphate","Low Heteroplasmy (9%) vs WT",1.23095521276141,0.00422108882566931,0.0168843553026773,2.14583663192278e-07,1.71666930553823e-06,5.72216362080461e-07,9.15546179328737e-06
"fructose 1,6-diphosphate","Low Heteroplasmy (9%) vs WT",1.17557664783773,0.023254572085858,0.0620121922289547,0.0307009765585934,0.0446559659034086,0.638924345691548,0.638924345691548
"AKG","High Heteroplasmy (25%) vs WT",1.16693925826315,0.224509925066441,0.276319907774081,0.00389864124026623,0.00779728248053245,0.0536135439179233,0.0714847252238977
"fructose 1,6-diphosphate","High Heteroplasmy (25%) vs WT",1.16394784871154,0.023254572085858,0.0620121922289547,0.0307009765585934,0.0446559659034086,0.638924345691548,0.638924345691548
"Lactate","High Heteroplasmy (25%) vs WT",1.13586601866231,0.641323446648594,0.641323446648594,0.063288774448748,0.0778938762446129,0.00235448447013895,0.00376717515222233
"Succinate","High Heteroplasmy (25%) vs Low Heteroplasmy (9%)",1.11296618842978,0.129215144650869,0.196792883181796,0.351952372686281,0.351952372686281,0.0915122222457773,0.112630427379418
"Glucose 6-phosphate","Low Heteroplasmy (9%) vs WT",1.10679558020962,0.135295107187485,0.196792883181796,0.240085690973311,0.256091403704865,0.000169469692100848,0.000451919178935595
"Lactate","High Heteroplasmy (25%) vs Low Heteroplasmy (9%)",1.09836506840371,0.641323446648594,0.641323446648594,0.063288774448748,0.0778938762446129,0.00235448447013895,0.00376717515222233
"AKG","High Heteroplasmy (25%) vs Low Heteroplasmy (9%)",1.09381140657601,0.224509925066441,0.276319907774081,0.00389864124026623,0.00779728248053245,0.0536135439179233,0.0714847252238977
