Name,logp1,logFC1
ETFB,5.31,-1.350440343
LYZ,0.51,-1.096550624
PTPN18,1.01,-1.047011693
COX6A1,1.91,-1.013575872
CEBPD,1.59,-0.961176554
MT-CO2,3.95,-0.812453588
CYGB,1.91,-0.783799489
NDUFS4,2.05,-0.783349355
FADS2,4.12,-0.773138046
MT1L,1.56,-0.764912923
NDUFA7,3.14,-0.760702133
GDA,1.96,-0.746044795
MT-CO1,2.43,-0.739898046
NR4A1,0.21,-0.736396154
CLK4,1.47,-0.724424362
NNMT,2.35,-0.71645991
CPPED1,2.64,-0.716431936
NDUFB7,2.03,-0.707457225
NDUFA12,4.35,-0.707000097
ARHGEF16,1.68,-0.680189768
MT-ND3,1.28,-0.667375565
MRPS33,1.89,-0.661780675
UQCRB,1.57,-0.654198329
NDUFC1,1.42,-0.645683924
TAGLN,4.01,-0.639702479
ZNF443;ZNF823;ZNF799,0.24,-0.637947718
MT-ND4,0.84,-0.623008092
FBXO44,0.59,-0.622618357
COX7A2L,1.78,-0.621889114
NDUFB8,1.39,-0.620309194
WDR91,3.44,-0.610569636
MT-CO3,1.00,-0.610101064
GLRX,1.78,-0.60849762
NDUFS5,3.81,-0.586613973
MT-CYB,1.77,-0.586266836
GALT,1.01,-0.583725611
MT-ND1,1.11,-0.579792658
UQCRQ,2.72,-0.579587301
NDUFB4,3.92,-0.579404831
DNAH11,0.76,-0.563946406
MRPS18C,0.97,-0.561044057
MT-ATP6,2.77,-0.560402552
NDUFB9,3.92,-0.547055562
MT-ND5,3.83,-0.541662216
MT2A,2.58,-0.539352417
MRPS21,1.06,-0.528555552
NDUFA13,0.80,-0.517986298
ETFA,3.04,-0.515481313
NDUFC2;NDUFC2-KCTD14,0.40,-0.50956281
CRABP1,1.31,-0.509439468
COX7C,1.03,-0.507851919
NDUFA6,2.25,-0.50361824
NDUFS1,4.51,-0.500363668
CNTROB,0.18,-0.500275294
VDAC1,1.12,-0.495845795
VGF,0.37,-0.489327113
GPRC5C,3.98,-0.484505971
CCNY,0.21,-0.474082311
ICAM1,1.10,-0.473297755
TSHZ3,1.32,-0.469476064
MT1E,3.75,-0.463865916
FAM84B,1.46,-0.461064021
SCD,1.66,-0.457137426
NDUFA8,1.14,-0.453465144
PAIP2,0.92,-0.453034719
SYNPO,4.42,-0.447346369
NDUFS6,1.76,-0.44416364
COX6B1,1.67,-0.437814077
NDUFA2,1.03,-0.43707784
POMP,2.89,-0.432065964
STOM,3.00,-0.428179423
PROB1,1.56,-0.42678833
UQCRFS1;UQCRFS1P1,2.26,-0.425015767
NDUFV3,0.89,-0.424804052
NDUFA4,0.96,-0.42094485
SLCO2A1,0.64,-0.420212428
OSMR,3.01,-0.416297913
BTF3,0.39,-0.416067123
INHBA,0.12,-0.415814718
HMGCS1,1.45,-0.413983663
NDUFA10,1.19,-0.413321813
ALDH7A1,1.35,-0.411734899
COX5B,3.30,-0.410684586
CHCHD7,1.57,-0.409564336
CEP95,0.20,-0.408535639
LYRM7,0.52,-0.406173706
ERAL1,0.51,-0.402221044
UQCRC2,3.85,-0.400559743
CYP1B1,0.73,-0.398886998
AMD1,1.18,-0.397370021
MT1M,0.86,-0.396160126
AURKAIP1,0.73,-0.391934713
MBLAC2,2.78,-0.390788396
MT1F,1.15,-0.387950897
CDH13,1.46,-0.385895411
COX6C,1.63,-0.382621129
NCOA7,0.20,-0.381215413
KCNN3;KCNN2,1.64,-0.381165822
PKIB,0.22,-0.380963643
PTMA,0.24,-0.379582087
PJA2,0.68,-0.375283559
HSPA4,0.94,-0.374551773
TLE4,0.51,-0.37309138
HBA1,0.85,-0.372926712
MRPS31,1.02,-0.367015203
ZNF460,0.34,-0.365432103
LGMN,0.86,-0.365314484
NTN1,0.75,-0.362981796
ZNF780A,0.22,-0.36164093
VWA5A,1.71,-0.360390981
ZC3H12A,0.95,-0.359642665
LMBR1,0.79,-0.359595617
CDKN2AIPNL,2.23,-0.355568568
MRPS35,0.67,-0.355402629
RASSF5,0.91,-0.354576747
COX8A,2.10,-0.354306539
ANKRD10,0.61,-0.354032516
PFDN1,1.12,-0.354031881
FHDC1,0.53,-0.353328069
MRPS15,1.31,-0.353293737
BASP1,0.28,-0.35187912
NUDT12,0.67,-0.351495107
MCEE,0.31,-0.351333618
HMGN5,0.53,-0.347897847
SAR1B,1.45,-0.34764417
MRPS30,1.97,-0.346607844
