"BE1_ranks","gene","genetype","ranks"
0.219436850234916,"FRMD3","Nuclear",20741
0.187463999744653,"FRMD4A","Nuclear",20740
0.183007128405719,"RAD51B","Nuclear",20739
0.172123909190436,"BCAT1","Nuclear",20738
0.170407029027935,"CCBE1","Nuclear",20737
0.168816796267607,"PBX3","Nuclear",20736
0.16265208317877,"FAM133B","Nuclear",20735
0.158031699562981,"SPATA6L","Nuclear",20734
0.157847939217092,"MBNL1","Nuclear",20733
0.152668607800447,"DOCK9","Nuclear",20732
0.151557657286077,"RNF130","Nuclear",20731
0.151122091331431,"PPP4R3A","Nuclear",20730
0.150976309576704,"ALDH1L2","Nuclear",20729
0.149572116331038,"GATD3B","Nuclear",20728
0.148493238622878,"FAM49B","Nuclear",20727
0.148388481745556,"IGF2BP2","Nuclear",20726
0.147212703711779,"CCDC66","Nuclear",20725
0.145914423226204,"SFTA1P","Nuclear",20724
0.14428876468181,"POLA1","Nuclear",20723
0.143570094129414,"BDKRB1","Nuclear",20722
0.1410870321059,"WDHD1","Nuclear",20721
0.14054073896224,"PRRC1","Nuclear",20720
0.140476757147602,"NLGN2","Nuclear",20719
0.139778506465811,"MAPK8","Nuclear",20718
0.139172922861643,"CUL4B","Nuclear",20717
0.138747037579404,"EBF2","Nuclear",20716
0.137517311356304,"ALCAM","Nuclear",20715
0.136800871159529,"LNX2","Nuclear",20714
0.136066670999359,"CFAP298","Nuclear",20713
0.135136221403381,"VCL","Nuclear",20712
0.133997590288176,"SPIN1","Nuclear",20711
0.133327902485209,"ATAD2","Nuclear",20710
0.13065571099558,"FGD5-AS1","Nuclear",20709
0.130066664821751,"GRM8","Nuclear",20708
0.129737837719192,"HDAC3","Nuclear",20707
0.12916739633404,"TFAM","Nuclear",20706
0.129053203924358,"TOP1","Nuclear",20705
0.128947580680324,"ADK","Nuclear",20704
0.128782660242436,"AC008969.1","Nuclear",20703
0.128228756093727,"ZMYND19","Nuclear",20702
0.127343271670535,"MCMBP","Nuclear",20701
0.127197083551707,"TMEM35B","Nuclear",20700
0.127122348170642,"WNT7A","Nuclear",20699
0.127031746580064,"PRKG1","Nuclear",20698
0.126772844606065,"ANKRD9","Nuclear",20697
0.126715055480485,"ZSCAN5A","Nuclear",20696
0.125811587233452,"SLC25A36","Nuclear",20695
0.125721163730042,"HAT1","Nuclear",20694
0.125610320724647,"METTL7B","Nuclear",20693
0.125424302227565,"AC133485.7","Nuclear",20692
0.125134193235581,"FGFBP1","Nuclear",20691
0.124639884323167,"AC037198.1","Nuclear",20690
0.12458217875705,"RDH14","Nuclear",20689
0.124322818563563,"UBE2J2","Nuclear",20688
0.123870998105669,"MRPS28","Mitochondrial Ribosome",20687
0.123337326511105,"CDC37","Nuclear",20686
0.12327537823948,"ZFP36L1","Nuclear",20685
0.122817688990496,"LINC00476","Nuclear",20684
0.122760160311213,"TFG","Nuclear",20683
0.122573827851327,"CALD1","Nuclear",20682
0.122549514517483,"GTPBP4","Nuclear",20681
0.122512306037948,"GPR173","Nuclear",20680
0.122500487148149,"MAP4K4","Nuclear",20679
0.122296861757756,"FUT8","Nuclear",20678
0.122142802277047,"AC011466.3","Nuclear",20677
0.121898849790707,"HECTD1","Nuclear",20676
0.121660701820912,"ITGA6","Nuclear",20675
0.121563045287458,"ACP2","Nuclear",20674
0.121556766982264,"LNPEP","Nuclear",20673
0.120771945011932,"AC006525.1","Nuclear",20672
0.119992996896748,"RIOK1","Nuclear",20671
0.119755177873248,"GIPC1","Nuclear",20670
0.119502780339293,"AP1M2","Nuclear",20669
0.119443462047222,"ASAP1","Nuclear",20668
0.119356434122494,"TSPAN14","Nuclear",20667
0.11930250242729,"AL589935.1","Nuclear",20666
0.119031764343272,"CLASP1","Nuclear",20665
0.118923369236481,"PUM1","Nuclear",20664
0.118287870254836,"ECM2","Nuclear",20663
0.118054008491847,"HOTAIR","Nuclear",20662
0.117941386519591,"AL512506.1","Nuclear",20661
0.117700518524439,"AC135050.6","Nuclear",20660
0.117635264971649,"PCDH1","Nuclear",20659
0.117475196501058,"RFPL4A","Nuclear",20658
0.117421557037127,"ZNF436-AS1","Nuclear",20657
0.117397203796754,"TATDN1","Nuclear",20656
0.117075645319701,"NMT2","Nuclear",20655
0.117001449092695,"EXOC4","Nuclear",20654
0.116773799480181,"PXYLP1","Nuclear",20653
0.116398418673451,"TBC1D23","Nuclear",20652
0.116309040325848,"DNPEP","Nuclear",20651
0.11626305364867,"HECW2","Nuclear",20650
0.116026673083768,"HNRNPUL2","Nuclear",20649
0.1159400215819,"ERBIN","Nuclear",20648
0.115938139879252,"XYLT1","Nuclear",20647
0.11592784379433,"AC092139.1","Nuclear",20646
0.115743644429477,"HPF1","Nuclear",20645
0.115593560693432,"CYB5D1","Nuclear",20644
0.115502129374821,"SPP1","Nuclear",20643
0.11548438549912,"VRK1","Nuclear",20642
0.115424951054396,"SH3KBP1","Nuclear",20641
0.115317880864566,"PECAM1","Nuclear",20640
0.115255312345277,"PIGU","Nuclear",20639
0.115192392878576,"PARG","Nuclear",20638
0.115160659813095,"NAPEPLD","Nuclear",20637
0.115120536533877,"SF3B5","Nuclear",20636
0.1151178177339,"FANK1","Nuclear",20635
0.114986150169112,"WASHC3","Nuclear",20634
0.114961455576363,"FYTTD1","Nuclear",20633
0.114710616244571,"NECTIN1","Nuclear",20632
0.114671610288734,"CSNK2A1","Nuclear",20631
0.114547160417304,"AL137796.1","Nuclear",20630
0.114477602813237,"AC019205.1","Nuclear",20629
0.114245508090422,"VKORC1L1","Nuclear",20628
0.11421052938298,"CHURC1","Nuclear",20627
0.114092357458447,"CSPP1","Nuclear",20626
0.114018260595549,"TTPA","Nuclear",20625
0.113259050103472,"CLYBL","Nuclear",20624
0.113178875548584,"PDLIM5","Nuclear",20623
0.113168624149686,"AC120053.1","Nuclear",20622
0.11291637986629,"TRMT44","Nuclear",20621
0.112762623804849,"KCTD20","Nuclear",20620
0.112626141661432,"SMC3","Nuclear",20619
0.112616082409468,"AL353138.1","Nuclear",20618
0.112583181324412,"CCDC198","Nuclear",20617
0.112562461493841,"TRAF6","Nuclear",20616
0.11221263372864,"AP000936.1","Nuclear",20615
0.112111057311303,"ZFHX4","Nuclear",20614
0.111840022812043,"CERS1","Nuclear",20613
0.111788940017285,"NOXA1","Nuclear",20612
0.11158162270341,"KHDRBS3","Nuclear",20611
0.111372075560195,"PRKCA","Nuclear",20610
0.111341206701867,"AC145124.1","Nuclear",20609
0.111265371854477,"AC022558.1","Nuclear",20608
0.111075058115549,"ZNF629","Nuclear",20607
0.110999902874059,"THSD4","Nuclear",20606
0.110808958807608,"KIAA1211L","Nuclear",20605
0.110751232700862,"HSP90AB1","Nuclear",20604
0.110691807838513,"MTERF4","Nuclear",20603
0.110679357297947,"CCDC102A","Nuclear",20602
0.110569566749215,"IRF4","Nuclear",20601
0.110387096414041,"ZNHIT3","Nuclear",20600
0.110340775727094,"KCNT2","Nuclear",20599
0.109989554787445,"TMEM128","Nuclear",20598
0.109979429248327,"FLNC","Nuclear",20597
0.109857687881437,"AC073957.3","Nuclear",20596
0.109566134453223,"AMDHD2","Nuclear",20595
0.109561245565314,"BTN2A2","Nuclear",20594
0.109508635811228,"MCM5","Nuclear",20593
0.109494783335627,"STAG1","Nuclear",20592
0.109484091396917,"SPOCK3","Nuclear",20591
0.10927394757497,"GPC6","Nuclear",20590
0.109145162381023,"DEPDC5","Nuclear",20589
0.108913000644117,"USP46-AS1","Nuclear",20588
0.108861111959817,"BAZ2B","Nuclear",20587
0.108752228164752,"ZNF668","Nuclear",20586
0.108745413185083,"SPIN4","Nuclear",20585
0.108471995208933,"RPRD1B","Nuclear",20584
0.10840145211516,"ZNF609","Nuclear",20583
0.108257188460121,"OBI1","Nuclear",20582
0.108114893143156,"AC130324.2","Nuclear",20581
0.108069999686405,"RHBDF2","Nuclear",20580
0.108053968981255,"ATP11A","Nuclear",20579
0.107952077428955,"COL13A1","Nuclear",20578
0.107873279111223,"TNFAIP1","Nuclear",20577
0.107866393628509,"AL118516.1","Nuclear",20576
0.107730623003044,"WLS","Nuclear",20575
0.107728986595386,"LINC02208","Nuclear",20574
0.107710318685562,"FAM160A1","Nuclear",20573
0.107704476117671,"PAWR","Nuclear",20572
0.107686286598202,"TRIM39","Nuclear",20571
0.107583690331302,"UAP1","Nuclear",20570
0.10738243335743,"TMEM147","Nuclear",20569
0.106635071106796,"LKAAEAR1","Nuclear",20568
0.106543594635892,"SYNCRIP","Nuclear",20567
0.106516337471124,"LINC02742","Nuclear",20566
0.106374897437001,"AC005476.2","Nuclear",20565
0.106260982762901,"KLHL32","Nuclear",20564
0.106101977434891,"MDN1","Nuclear",20563
0.106090862349096,"NIPA1","Nuclear",20562
0.106065799236917,"TCF19","Nuclear",20561
0.106058651310104,"PABPC4","Nuclear",20560
0.105915202963616,"COL23A1","Nuclear",20559
0.105796312800298,"CCDC6","Nuclear",20558
0.105763162352515,"SPDYE2","Nuclear",20557
0.105505263099551,"AL606760.2","Nuclear",20556
0.105403182008634,"ATF6","Nuclear",20555
0.105396015217284,"CD2AP","Nuclear",20554
0.105373181940991,"PSMD1","Nuclear",20553
0.105307593064691,"ANK2","Nuclear",20552
0.10521420079786,"RAB3GAP1","Nuclear",20551
0.105113561114087,"AIMP2","Nuclear",20550
0.104859506033598,"MYNN","Nuclear",20549
0.104702063038198,"HLX-AS1","Nuclear",20548
0.104599390068085,"GPRIN1","Nuclear",20547
0.104521754889396,"ONECUT3","Nuclear",20546
0.104516162088174,"ZFY","Nuclear",20545
0.104441421958686,"AP001412.1","Nuclear",20544
0.104436281789927,"PARD3B","Nuclear",20543
0.104415843142051,"ZMYND8","Nuclear",20542
0.10424511067154,"AMER1","Nuclear",20541
0.104244850743942,"ANO10","Nuclear",20540
0.104198631837643,"NUDT19","Nuclear",20539
0.104072649830101,"KCTD2","Nuclear",20538
0.104023234658977,"PDE8A","Nuclear",20537
0.104008946961694,"DCTN4","Nuclear",20536
0.103975039130836,"NSMAF","Nuclear",20535
0.10386299344478,"LINC01583","Nuclear",20534
0.103493445195068,"OPHN1","Nuclear",20533
0.103411860143471,"AL049536.1","Nuclear",20532
0.10337373314139,"CREBBP","Nuclear",20531
0.103284558562888,"AC074351.1","Nuclear",20530
0.103023197665944,"SAMD4B","Nuclear",20529
0.102965445706263,"IRF2BPL","Nuclear",20528
0.102657957585298,"LRRC8D","Nuclear",20527
0.102601559272356,"ST6GALNAC5","Nuclear",20526
0.102581473030741,"IPCEF1","Nuclear",20525
0.10257757775617,"ASB3","Nuclear",20524
0.102502642571975,"FAM193A","Nuclear",20523
0.102482242115413,"TMEM63C","Nuclear",20522
0.102334324414528,"LDLRAD3","Nuclear",20521
0.102313739676956,"AC011446.1","Nuclear",20520
0.102310042497406,"CHD7","Nuclear",20519
0.10220350062669,"AC007622.2","Nuclear",20518
0.102075458466229,"SLC35B4","Nuclear",20517
0.102005648536535,"CRY1","Nuclear",20516
0.101961796443041,"TBXA2R","Nuclear",20515
0.1019426377082,"EFNB2","Nuclear",20514
0.101772439517228,"AC026316.5","Nuclear",20513
0.101763129056154,"SPIRE1","Nuclear",20512
0.1017582360284,"EBF1","Nuclear",20511
0.101717391219187,"TMEM86B","Nuclear",20510
0.101594499253443,"MECOM","Nuclear",20509
0.101534590729204,"DIAPH2","Nuclear",20508
0.101521718593699,"MAGI1","Nuclear",20507
0.101487937426123,"RAD18","Nuclear",20506
0.101372383945309,"CTBP2","Nuclear",20505
0.101073566183228,"HNRNPA1","Nuclear",20504
0.101061544127424,"DNM1L","Nuclear",20503
0.101034067924674,"DIP2A","Nuclear",20502
0.100855611089303,"ABCC5","Nuclear",20501
0.100657989145772,"AL390198.1","Nuclear",20500
0.100605980811743,"MAGI1-AS1","Nuclear",20499
0.100514120077053,"AC009118.2","Nuclear",20498
0.100470262954691,"OGFRL1","Nuclear",20497
0.100445068710804,"MRPL35","Mitochondrial Ribosome",20496
0.100404718182261,"DYNC1H1","Nuclear",20495
0.100241805278073,"AC009133.1","Nuclear",20494
0.100236264890077,"DGKB","Nuclear",20493
0.100158098002132,"STK24","Nuclear",20492
0.100123466711846,"GNA14","Nuclear",20491
0.0999092936381443,"WDR20","Nuclear",20490
0.0999083318158863,"ZKSCAN2-DT","Nuclear",20489
0.0998358464502023,"OGA","Nuclear",20488
0.0998342057147963,"CSNK1D","Nuclear",20487
0.099828207297313,"COL18A1","Nuclear",20486
0.0998124044531917,"LINC01119","Nuclear",20485
0.0997662465501011,"ZNF319","Nuclear",20484
0.0997342956357954,"ANKRD12","Nuclear",20483
0.0997105408267724,"PARD3","Nuclear",20482
0.0996255895450829,"AL024507.2","Nuclear",20481
0.0995914846549484,"RHOJ","Nuclear",20480
0.099378553038042,"ATAD3A","Nuclear",20479
0.0992939463166751,"ZBED5","Nuclear",20478
0.0992853629659075,"CSDE1","Nuclear",20477
0.0992289397454642,"MIR193BHG","Nuclear",20476
0.0991618885377479,"RPS6","Nuclear Ribosome",20475
0.0989876310627821,"EPB41L3","Nuclear",20474
0.0989411288651237,"TBC1D4","Nuclear",20473
0.0989394624913326,"CEP170","Nuclear",20472
0.0988910481019484,"SLC20A1","Nuclear",20471
0.0988508667828692,"EDNRA","Nuclear",20470
0.0987871898375154,"COX11","Nuclear",20469
0.0987677830924993,"GOLGA2","Nuclear",20468
0.0987487319581436,"CHKB","Nuclear",20467
0.0987112096789801,"SLC10A5","Nuclear",20466
0.0987018035428586,"CXCR5","Nuclear",20465
0.0986841024103699,"ILF3","Nuclear",20464
0.0985463864968853,"PIP4K2A","Nuclear",20463
0.0984809103824107,"NAA80","Nuclear",20462
0.098277916505086,"AL162386.2","Nuclear",20461
0.0981277150899471,"BCKDHB","Nuclear",20460
0.0981170876149915,"GOPC","Nuclear",20459
0.0980792708090528,"DSE","Nuclear",20458
0.098073828571175,"ZXDB","Nuclear",20457
0.0980712129515219,"TOX2","Nuclear",20456
0.0980115346696734,"PYGO1","Nuclear",20455
0.0979860490946917,"PAFAH1B2","Nuclear",20454
0.0978665452287666,"HELLS","Nuclear",20453
0.0978631900536816,"AC010735.2","Nuclear",20452
0.0977380082275556,"TCHP","Nuclear",20451
0.0976732631350306,"PRKDC","Nuclear",20450
0.0976592109109071,"ZNF487","Nuclear",20449
0.0976351541887937,"ZSCAN31","Nuclear",20448
0.0976142852239152,"MRPL28","Mitochondrial Ribosome",20447
0.0974149506940877,"SNHG14","Nuclear",20446
0.0973828111693942,"AC007216.3","Nuclear",20445
0.0973687070190478,"NPAS2","Nuclear",20444
0.0973032230696361,"HNRNPM","Nuclear",20443
0.0972852249443859,"RBFOX2","Nuclear",20442
0.0972213153209167,"PLCL2","Nuclear",20441
0.0972013341729648,"WASHC1","Nuclear",20440
0.0971822197156635,"RPS6KA4","Nuclear Ribosome",20439
0.0971198308181122,"CCDC151","Nuclear",20438
0.0971056462695673,"AL133464.1","Nuclear",20437
0.0970749130810534,"VCAN-AS1","Nuclear",20436
0.0970380598941153,"PLCG2","Nuclear",20435
0.097016760969462,"TMEM160","Nuclear",20434
0.0970081881140636,"SP140L","Nuclear",20433
0.0969921622042061,"IQCA1","Nuclear",20432
0.0969739165336183,"AC073896.2","Nuclear",20431
0.0969625218566361,"DDX21","Nuclear",20430
0.0968198623761467,"AC000099.1","Nuclear",20429
0.0968077285675257,"PRDM1","Nuclear",20428
0.0967771313334409,"PAG1","Nuclear",20427
0.0966657816177762,"CRIP2","Nuclear",20426
0.0966654346330071,"TADA1","Nuclear",20425
0.0965857817034005,"TMEM209","Nuclear",20424
0.0965796359276953,"UNC5B","Nuclear",20423
0.0965426092059166,"STARD5","Nuclear",20422
0.096530516128252,"KDM5A","Nuclear",20421
0.0964093273761435,"ZNF638","Nuclear",20420
0.0963474891298183,"VGLL3","Nuclear",20419
0.0962631443846984,"AC092611.1","Nuclear",20418
0.0960648659477029,"USP27X-AS1","Nuclear",20417
0.0960519422368158,"JMJD8","Nuclear",20416
0.0960228923973094,"Z93020.1","Nuclear",20415
0.0959128209891665,"LYPLA1","Nuclear",20414
0.0958428361600292,"FP700111.1","Nuclear",20413
0.0957582064704623,"HSP90B1","Nuclear",20412
0.095530240186965,"CHST7","Nuclear",20411
0.0954830341305751,"WASF3-AS1","Nuclear",20410
0.095474423186908,"NEUROG2","Nuclear",20409
0.0954257704470412,"AC092142.1","Nuclear",20408
0.0954214926791399,"PTBP2","Nuclear",20407
0.0953877669634757,"WWC2","Nuclear",20406
0.0953314301303956,"MTRR","Nuclear",20405
0.0953169655278702,"AC092745.5","Nuclear",20404
0.095173010987963,"AL122035.1","Nuclear",20403
0.0951543843103645,"AL606834.2","Nuclear",20402
0.095124149883077,"SMARCD1","Nuclear",20401
