"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT","1.10042237914847e-10",1.12672247401012e-06,"0.839088935621274","-0.55664033255733","-2.34033581837531","92","c(""CHCHD2"", ""MT-CYB"", ""NDUFA4"", ""CCNB1"", ""MT-CO2"", ""MT-CO1"", ""NDUFA5"", ""MT-CO3"", ""UQCRQ"", ""COX7B"", ""NDUFS6"", ""UQCRH"", ""CDK1"", ""NDUFS7"", ""COX4I1"", ""COX7A2"", ""BID"", ""UQCC3"", ""UQCRC1"", ""COQ9"", ""PARK7"", ""NDUFS5"", ""NDUFC1"", ""COX7C"", ""MT-ND4"", ""NDUFB4"", ""NDUFV1"", ""NDUFAB1"", ""NDUFC2"", ""NDUFS3"", ""MT-ND5"", ""COX15"", ""UQCRFS1"", ""NDUFA6"", ""NDUFA12"", ""SDHAF2"")"
"GOBP_OXIDATIVE_PHOSPHORYLATION","1.05747047210064e-09",5.41372008191921e-06,"0.788186810800237","-0.495072860367949","-2.21935300787074","135","c(""CHCHD2"", ""MT-CYB"", ""NDUFA4"", ""CCNB1"", ""MT-CO2"", ""MT-CO1"", ""NDUFA5"", ""MT-CO3"", ""UQCRQ"", ""MT-ATP6"", ""C2orf69"", ""COX7B"", ""NDUFS6"", ""UQCRH"", ""CDK1"", ""NDUFS7"", ""COX4I1"", ""COX7A2"", ""BID"", ""ATP5PB"", ""UQCC3"", ""UQCRC1"", ""COQ9"", ""PARK7"", ""NDUFS5"", ""ATP5PF"", ""NDUFB11"", ""NDUFC1"", ""NIPSNAP2"", ""COX7C"", ""STOML2"", ""MT-ND4"", ""ATP5MG"", ""NDUFB4"", ""NDUFV1"", ""NDUFAB1"", ""NDUFC2"", ""NDUFS3"", ""ATP5F1E"", ""MT-ND5"", ""COX15"", ""NUPR1"", ""RHOA"", ""UQCRFS1"", ""NDUFA6"", ""NDUFA12"", ""SDHAF2"", ""NDUFA11"", ""TEFM"", ""NDUFA2"")"
"GOCC_RIBOSOMAL_SUBUNIT","1.72812931361488e-09",5.89810534736758e-06,"0.788186810800237","-0.456660615900608","-2.12905251420434","177","c(""RPL36A"", ""RPL6"", ""RPS19"", ""RPLP0"", ""MRPS7"", ""RPLP1"", ""RPS27"", ""RPSA"", ""RPS16"", ""RPL37A"", ""MRPS18B"", ""RPS17"", ""MRPL20"", ""RPS5"", ""MRPL58"", ""RPL38"", ""MRPL9"", ""MRPL51"", ""MRPS24"", ""RPL10A"", ""RPL23"", ""MRPL40"", ""UBA52"", ""MRPL21"", ""RPL13"", ""MRPS17"", ""MRPS26"", ""RPL26"", ""RPL32"", ""MRPL57"", ""MRPL4"", ""MRPL2"", ""RPL21"", ""RPL39L"", ""MRPL43"", ""MRPL32"", ""MRPS33"", ""MRPL23"", ""MRPL11"", ""MRPS11"", ""MRPS22"", ""RPL10"", ""RPL18"", ""MRPS21"", ""PTCD3"", ""ZCCHC17"", ""RPS14"", ""RPS27A"", ""RPL27A"", ""RPS3"", ""MRPL16"", ""MRPL15"", ""RPS3A"", 
""RPS10"", ""RPS12"", ""MRPL36"", ""MRPL44"", ""RPS2"", ""MRPL24"", ""RPS26"", ""MRPL53"", ""RPL24"", ""RPS20"", ""FXR2"", ""MRPL19"", ""RPS4X"", ""EIF2A"", ""MRPL37"", ""RPL41"", ""MRPL46"", ""RPL30"", ""RPL29"", ""RPL8"", ""B3GALT4"", ""RPL11"", ""MRPL38"")"
"GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX","3.45629797015345e-09",8.64231713368689e-06,"0.774939030136436","-0.393981564750766","-1.94707078567246","286","c(""TOMM7"", ""MT-CYB"", ""NDUFA4"", ""MT-CO2"", ""MT-CO1"", ""NDUFA5"", ""MT-CO3"", ""BCS1L"", ""UQCRQ"", ""MICU2"", ""MRPS7"", ""TIMM23B"", ""MT-ATP6"", ""SMDT1"", ""TIMM8B"", ""TOMM40L"", ""WDR93"", ""IMMP1L"", ""TOMM5"", ""COX7B"", ""HSD17B10"", ""MRPS18B"", ""MRPL20"", ""NDUFS6"", ""MRPL58"", ""UQCRH"", ""MRPL9"", ""MRPL51"", ""MRPS24"", ""NDUFS7"", ""COX4I1"", ""ATP5MC3"", ""COX7A2"", ""MRPL40"", ""ATP5PB"", ""MRPL21"", ""TOMM70"", ""UQCRC1"", ""ATP5MC2"", ""MRPS17"", ""MRPS26"", ""NDUFS5"", ""MRPL57"", ""MRPL4"", ""MRPL2"", ""ATP5PF"", ""NDUFB11"", ""NDUFC1"", ""COX7C"", ""MRPL43"", ""MRPL32"", 
""MT-ND4"", ""ATP5MG"", ""NDUFB4"", ""MRPS33"", ""MRPL23"", ""NDUFV1"", ""MRPL11"", ""MRPS11"", ""MTX1"", ""MRPS22"", ""NDUFAB1"", ""NDUFC2"", ""MRPS21"", ""MCCC2"", ""PTCD3"", ""POLRMT"", ""NDUFS3"", ""ATP5F1E"", ""MT-ND5"", ""MRPL16"", ""SLC25A5"", ""MRPL15"", ""UQCRFS1"", ""ATP5MC1"", ""MRPL36"", ""TIMM17B"", ""NDUFA6"", ""MRPL44"", ""NDUFA12"", ""NDUFA11"", ""PDK2"", ""MRPL24"", ""NDUFA2"", ""MRPL53"", ""TIMM10B"", ""MRPL19"", ""MRPL37"", ""DNAJC11"", ""TIMM9"", ""TIMM10"", ""FXN"", ""MRPL46"", ""TOMM20"", ""NDUFB5"", ""CHCHD6"", ""COX6A1"", ""MRPL38"", ""ATP5MF"", ""MRPL42"", ""COX6B1"", ""ATP5PO"", 
""DBT"", ""APOOL"", ""AFG3L2"", ""SUCLG1"", ""TIMM29"", ""SDHC"")"
"GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME","4.22029355097514e-09",8.64231713368689e-06,"0.761460801445585","-0.460639461350995","-2.12018933421204","158","c(""RPL36A"", ""RPL6"", ""RPS19"", ""RPLP0"", ""MRPS7"", ""RPLP1"", ""RPS27"", ""RPSA"", ""RPS16"", ""RPL37A"", ""MRPS18B"", ""RPS17"", ""MRPL20"", ""RPS5"", ""RPL38"", ""MRPL9"", ""MRPL51"", ""MRPS24"", ""RPL10A"", ""RPL23"", ""UBA52"", ""MRPL21"", ""RPL13"", ""MRPS17"", ""RPL26"", ""RPL32"", ""MRPL57"", ""MRPL4"", ""MRPL2"", ""RPL21"", ""RPL39L"", ""MRPL43"", ""MRPL32"", ""MRPS33"", ""MRPL23"", ""MRPL11"", ""MRPS11"", ""MRPS22"", ""RPL10"", ""RPL18"", ""MRPS21"", ""RPS14"", ""RPS27A"", ""RPL27A"", ""RPS3"", ""MRPL16"", ""MRPL15"", ""RPS3A"", ""RPS10"", ""RPS12"", ""MRPL36"", ""MRPL44"", ""RPS2"", ""MRPL24"", 
""RPS26"", ""RPL24"", ""RPS20"", ""MRPL19"", ""RPS4X"", ""MRPL37"", ""RPL41"", ""MRPL46"", ""RPL30"", ""RPL29"", ""RPL8"", ""RPL11"")"
"GOBP_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION","1.16796457258584e-08",1.99313154311774e-05,"0.747739663149885","-0.502833569322908","-2.16044960253777","108","c(""AURKB"", ""CCNB1"", ""AURKA"", ""NEK2"", ""IL1A"", ""INCENP"", ""PLK1"", ""CDCA2"", ""ESPL1"", ""BUB3"", ""MAD1L1"", ""SPC25"", ""ZWINT"", ""NUSAP1"", ""INSR"", ""BORA"", ""CUL3"", ""CDC25C"", ""IGF2"", ""CDCA8"", ""DAPK3"", ""CDC20"", ""FBXO5"", ""PRMT5"", ""OBSL1"", ""NDC80"", ""LRP5"", ""FBXO43"", ""BIRC5"", ""PCID2"", ""SPDL1"", ""NUF2"", ""FBXW5"", ""DUSP1"", ""ANAPC15"", ""BUB1B"", ""CDK5RAP2"", ""CENPF"", ""KIF20B"", ""MAD2L1BP"", ""HOXA13"", ""CAV2"")"
"GOBP_AEROBIC_RESPIRATION","2.28579397893607e-08",3.34346350718949e-05,"0.73376198835648","-0.432516499598309","-2.02591589713628","182","c(""CHCHD2"", ""MT-CYB"", ""NDUFA4"", ""CCNB1"", ""MT-CO2"", ""MT-CO1"", ""NDUFA5"", ""MT-CO3"", ""UQCRQ"", ""MT-ATP6"", ""C2orf69"", ""COX7B"", ""NDUFS6"", ""UQCRH"", ""CDK1"", ""NDUFS7"", ""COX4I1"", ""COX7A2"", ""BID"", ""ATP5PB"", ""UQCC3"", ""UQCRC1"", ""MTFR1L"", ""COQ9"", ""PARK7"", ""NDUFS5"", ""ATP5PF"", ""MTFR2"", ""NDUFB11"", ""NDUFC1"", ""NIPSNAP2"", ""COX7C"", ""OGDH"", ""STOML2"", ""MT-ND4"", ""ATP5MG"", ""NDUFB4"", ""NDUFV1"", ""NDUFAB1"", ""CS"", ""NDUFC2"", ""NDUFS3"", ""ATP5F1E"", ""MT-ND5"", ""MDH1B"", ""COX15"", ""NUPR1"", ""RHOA"", ""UQCRFS1"", ""NDUFA6"", ""NDUFA12"", ""SDHAF2"", 
""IDH1"", ""NDUFA11"")"
"GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX","3.83932055593322e-08",4.36786701913336e-05,"0.719512826338911","-0.453404959450237","-2.07303399899467","147","c(""MT-CYB"", ""NDUFA4"", ""MT-CO2"", ""MT-CO1"", ""NDUFA5"", ""MT-CO3"", ""BCS1L"", ""UQCRQ"", ""MICU2"", ""TIMM23B"", ""MT-ATP6"", ""SMDT1"", ""WDR93"", ""IMMP1L"", ""COX7B"", ""NDUFS6"", ""UQCRH"", ""NDUFS7"", ""COX4I1"", ""ATP5MC3"", ""COX7A2"", ""ATP5PB"", ""UQCRC1"", ""ATP5MC2"", ""NDUFS5"", ""ATP5PF"", ""NDUFB11"", ""NDUFC1"", ""COX7C"", ""MT-ND4"", ""ATP5MG"", ""NDUFB4"", ""NDUFV1"", ""MTX1"", ""NDUFAB1"", ""NDUFC2"", ""NDUFS3"", ""ATP5F1E"", ""MT-ND5"", ""UQCRFS1"", ""ATP5MC1"", ""TIMM17B"", ""NDUFA6"", ""NDUFA12"", ""NDUFA11"", ""NDUFA2"", ""TIMM10B"", ""DNAJC11"", ""TIMM9"", ""TIMM10"", 
""NDUFB5"", ""CHCHD6"", ""COX6A1"", ""ATP5MF"", ""COX6B1"", ""ATP5PO"", ""APOOL"", ""AFG3L2"", ""TIMM29"", ""SDHC"")"
"GOCC_RESPIRASOME","3.78309213881303e-08",4.36786701913336e-05,"0.719512826338911","-0.516267033936563","-2.17607160790674","93","c(""MT-CYB"", ""NDUFA4"", ""MT-CO2"", ""MT-CO1"", ""NDUFA5"", ""MT-CO3"", ""BCS1L"", ""UQCRQ"", ""WDR93"", ""C2orf69"", ""COX7B"", ""NDUFS6"", ""UQCRH"", ""NDUFS7"", ""COX4I1"", ""COX7A2"", ""UQCRC1"", ""NDUFS5"", ""NDUFB11"", ""NDUFC1"", ""COX7C"", ""MT-ND4"", ""NDUFB4"", ""NDUFV1"", ""NDUFAB1"", ""NDUFC2"", ""NDUFS3"", ""MT-ND5"", ""COX15"", ""UQCRFS1"", ""NDUFA6"", ""NDUFA12"", ""NDUFA11"")"
"GOBP_REGULATION_OF_NUCLEAR_DIVISION","6.31291358018347e-08",6.46379221474986e-05,"0.704975715167238","-0.462961781431899","-2.06806590818385","127","c(""AURKB"", ""CCNB1"", ""AURKA"", ""NEK2"", ""IL1A"", ""INCENP"", ""PLK1"", ""CDCA2"", ""ESPL1"", ""BUB3"", ""GPR3"", ""MAD1L1"", ""SPC25"", ""ZWINT"", ""NUSAP1"", ""INSR"", ""BORA"", ""CUL3"", ""CDC25C"", ""IGF2"", ""CDCA8"", ""DAPK3"", ""CDC20"", ""FBXO5"", ""PRMT5"", ""OBSL1"", ""NDC80"", ""LRP5"", ""FBXO43"", ""BIRC5"", ""PCID2"", ""SPDL1"", ""NUF2"", ""FBXW5"", ""DUSP1"", ""ANAPC15"", ""BUB1B"", ""CDK5RAP2"", ""CENPF"", ""KIF20B"", ""MAD2L1BP"", ""HOXA13"", ""CAV2"")"
