"ranks","gene","z"
0.54916512115594,"AC012485.1",0.617185141560184
0.496049024350911,"DCDC2B",0.544051967741385
0.491053391053391,"CAMK2N2",0.537447502989151
0.485699649961581,"RANBP3L",0.53041682582312
0.484111721611722,"AC138207.4",0.528340738855546
0.466675782073304,"AC093512.2",0.505812109121326
0.456593622012625,"CLIC5",0.492999209491252
0.45372495039135,"SGK2",0.489380934944865
0.448703357049453,"AC019294.2",0.483075581292608
0.446544535871372,"FABP3",0.480375813010665
0.442943152906554,"GPC6-AS1",0.475886434394704
0.432384255643921,"MIR548XHG",0.462825481550002
0.430931631579315,"LINC01640",0.461040209718046
0.429966121281337,"SLC6A1",0.459855118075399
0.424732542586883,"AC008870.2",0.453452154847644
0.424495021337127,"AL392046.1",0.453162389880503
0.423693916852709,"AP005432.1",0.452185604464233
0.421230599926674,"TGM2",0.449187134740135
0.421014525975187,"AC036214.2",0.448924480593879
0.419570222059299,"AL161756.1",0.44717030933756
0.417292501066962,"AL117379.1",0.444409148903693
0.414951893330676,"MAGEA1",0.441578367189803
0.411932371047719,"LINC01422",0.437936282268869
0.411842614217391,"SCARA5",0.43782818692149
0.409956408787944,"AC011447.3",0.435558824780148
0.409058587402596,"AC007383.2",0.434480106021156
0.408108788847611,"PCDH11X",0.433339972743943
0.407515982909737,"LCP1",0.432628909104954
0.406253887481756,"AL627309.5",0.431116411195329
0.399854862119013,"MIR302CHG",0.423476158941019
0.397859044031465,"BEGAIN",0.421102763404649
0.397049508368872,"CD19",0.420141353882466
0.391010853345773,"AC148477.2",0.412992774238414
0.390662796323174,"S100A2",0.41258196463534
0.389851422939026,"AC024230.1",0.411624816989001
0.389413145977554,"SH2D3C",0.411108094686592
0.387606587858705,"RAPGEF3",0.408980378233378
0.385749835832976,"ANO7",0.406797195583238
0.383850159161295,"ZDHHC11B",0.404567340873073
0.382785252552202,"AC245297.2",0.403319014377304
0.381275618807214,"ZNF385C",0.40155140187697
0.381248688376753,"AC002550.1",0.40151989099916
0.37984635346283,"LYPLAL1-AS1",0.399880084774641
0.378239402885311,"CORT",0.398003521035336
0.374058909011496,"SLC4A3",0.393134041571009
0.374035611761154,"AF129075.3",0.393106954537103
0.373557960709788,"DNAH17",0.392551724483554
0.372813864662491,"VGF",0.39168723254456
0.372329952706383,"CCDC160",0.391125321843076
0.371894237903292,"ZNF114",0.390619577983774
0.371773117134,"CASS4",0.390479024209487
0.371532553773264,"SFTPD",0.390199907638476
0.371486771222652,"AC097537.1",0.390146794433626
0.371012263378176,"RHOXF1",0.389596432240226
0.36987285392662,"AC026412.3",0.388275794487772
0.368173715767299,"AL139120.1",0.386308792843451
0.367792671643506,"PRKAR2A-AS1",0.385868069666895
0.36708373956095,"MIR3681HG",0.385048484674451
0.365965128793424,"AC234917.3",0.383756278503712
0.365754975724764,"AC073073.2",0.383513648545625
0.364020607938077,"AC008686.1",0.381512893175742
0.362823531029552,"AC073342.1",0.380133651879733
0.362043430930676,"AKNA",0.379235583173366
0.36191329969184,"LRRC26",0.37908583002869
0.361153622252178,"AC012501.2",0.378211927879984
0.360206777394988,"HBZ",0.377123487452859
0.360069449494189,"NWD2",0.376965693799974
0.359847907878892,"AMT",0.376711173987146
0.359380956272377,"ADIRF",0.37617486560273
0.358863875977608,"AC090772.3",0.375581223973143
0.357016748596684,"MKRN3",0.373462662907517
0.356336197974796,"AL121757.2",0.372682914066858
0.35551454274156,"AC068888.2",0.371742069913041
0.355266400620474,"AC005400.1",0.371458056176713
0.355160932297447,"SMC2-AS1",0.371337358629397
0.353988653503238,"AC061975.8",0.369996502794722
0.353787848531708,"AC017002.6",0.369766949248838
0.352170009049459,"PPP1R32",0.367918846375061
0.350581931661443,"AC025809.1",0.366107078317021
0.350531129948727,"LINC02453",0.366049158893162
0.3505161868183,"TRAF1",0.366032122562733
0.348297763232902,"NRG3",0.36350519707451
0.347568831559158,"ENO3",0.362675868880032
0.347474313914445,"PTGES3L",0.362568368250485
0.347461170067426,"PTGDS",0.362553419595011
0.34727928048431,"AL162258.2",0.362346570321375
0.346322225912889,"GPR22",0.361258673433349
0.345536136041568,"DLX2-DT",0.360365727308709
0.345399203273255,"MEI4",0.360210237109612
0.34484671323154,"AL138828.1",0.359583041913642
0.344820761792024,"NOVA2",0.35955358811375
0.344785681827622,"SLC12A5-AS1",0.359513774770334
0.343797985597765,"AC012640.2",0.35839325556459
0.342421432107706,"ATAD3C",0.356833024647287
0.342152318191859,"TMEM132E",0.356528197032311
0.342038199120947,"SRPX2",0.356398952592142
0.341686081900986,"AC233723.1",0.356000237662446
0.341674343052211,"FAM155A",0.355986947215563
0.341503806556525,"TMEM154",0.355793883440112
0.339773076241147,"SLC10A1",0.353835966355978
0.339343155299295,"AC139493.2",0.353350015396048
0.339024513742433,"DCDC2",0.352989949851435
0.338847099516324,"SNAP25-AS1",0.352789509547294
0.336037788274521,"AL713852.1",0.3496192002641
0.335666056609523,"MYL3",0.349200207690173
0.334734611642888,"AL162377.1",0.348150858507405
0.33393240699659,"AC012181.1",0.347247699693673
0.332945864747496,"AC006148.1",0.346137751421005
0.332817726334299,"KLF3-AS1",0.345993644475071
0.331789658304472,"MAGI1-IT1",0.34483795884777
0.330842424098532,"LINC00857",0.343773925211145
0.330387704155402,"KRTAP5-AS1",0.343263401821593
0.329617726279496,"FBN3",0.342399324290524
0.328262406862336,"NUPR1",0.340879564092313
0.327741530527117,"DDX59-AS1",0.340295893350674
0.327520519801196,"OSTN",0.340048306089525
0.326868609660877,"AL031963.1",0.339318237479038
0.326684632497212,"SYT2",0.339112266078693
0.32644894374285,"AC090644.1",0.338848441524144
0.325182694837806,"AL356489.3",0.337431808296506
0.324487598876807,"LRRC8E",0.336654715064808
0.324205850689302,"AC008147.2",0.336339841973841
0.323929137915024,"CATSPERD",0.336030658866893
0.323787258912916,"DNAH3",0.335872155361729
0.32378012033568,"AC093690.1",0.335864180760136
0.323587428255294,"LINC01232",0.335648937373981
0.323519599016281,"AC091180.5",0.335573177020143
0.322227754985013,"AC104532.2",0.334130988248935
0.321722703107659,"APOBEC3D",0.333567523012856
0.321245703782379,"LMNTD1",0.333035542358769
0.320898091692329,"ICAM4",0.332647977278186
0.319073186331993,"MPZL2",0.330614902972955
0.31876384536819,"DNAH8",0.330270536865986
0.318682070605792,"DNAH2",0.330179515788938
0.317610616252627,"TRABD2A",0.328987398634034
0.317577588581693,"CA1",0.328950665876237
0.317514358553976,"COL8A1",0.328880345012917
0.317190587051813,"TFEB",0.328520313832857
0.316466088466652,"AC019186.1",0.327714975141365
0.315274664049858,"AP001029.2",0.326391502182407
0.315171351870569,"C5",0.326276791737083
0.31502958942971,"PAQR7",0.326119402372341
0.315001080305524,"AC127526.1",0.326087752482007
0.314511599150429,"ACTRT3",0.325544444994536
0.314479410980448,"GRPEL2-AS1",0.325508723725938
0.314351575172885,"AC006252.1",0.325366864085069
0.314080412404378,"AC005332.3",0.325065996110044
0.314036098310292,"LINC02154",0.325016832923649
0.314015318961113,"AL355001.2",0.324993780306421
0.314014583520842,"AL096701.3",0.324992964414843
0.313679116341447,"AL021918.3",0.324620843364582
