"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX","9.60377743295939e-24",9.79777373710517e-20,"1.26273988547916","-0.55088948929884","-2.78521234269923","288","c(""MT-CO1"", ""MT-ND5"", ""MT-CO3"", ""MT-CO2"", ""MT-ATP6"", ""MT-CYB"", ""UQCRB"", ""UQCRFS1"", ""CYC1"", ""MT-ND4"", ""NDUFB9"", ""ATP5MG"", ""COX8A"", ""NDUFS5"", ""COX6C"", ""ATP5F1D"", ""MRPL41"", ""IDH3B"", ""NDUFA11"", ""MT-ND6"", ""UQCRH"", ""MRPS34"", ""MRPL13"", ""MT-ATP8"", ""ATP5ME"", ""TOMM6"", ""NDUFS6"", ""MRPL14"", ""MRPL40"", ""MRPL48"", ""MRPL21"", ""ATP5F1E"", ""NDUFA4"", ""SUCLG1"", ""TOMM22"", ""ATP5MC2"", ""MRPS2"", ""NDUFC2"", ""MRPS28"", ""ATP5MF"", ""MRPS18A"", ""MRPL15"", ""NDUFA7"", ""MRPL28"", ""MRPL23"", ""ATP5PO"", ""NDUFAB1"", ""PHB2"", ""TIMM13"", ""ATP5F1C"", 
""MRPL55"", ""COX7B"", ""BCS1L"", ""NDUFB3"", ""NDUFB10"", ""PPIF"", ""COX6B1"", ""NDUFB7"", ""MRPL54"", ""UQCR10"", ""NDUFV1"", ""MPC1"", ""TOMM20L"", ""NDUFA3"", ""TIMM22"", ""MPC2"", ""HADHA"", ""GRPEL2"", ""MCU"", ""MRPS12"", ""MRPL51"", ""TIMM9"", ""MRPS10"", ""COX5B"", ""MRPL43"", ""BAX"", ""TIMM10"", ""MRPL35"", ""SDHA"", ""MRPL37"", ""DLAT"", ""MCUB"", ""PMPCA"", ""GADD45GIP1"", ""MRPL47"", ""NDUFA2"", ""ROMO1"", ""TOMM40"", ""MRPS5"", ""MRPS16"", ""SAMM50"", ""MT-ND3"", ""ATP5PF"", ""SLC25A31"", ""NDUFA13"", ""MICOS13"", ""MRPL2"", ""APOO"", ""MRPL18"", ""MRPL4"", ""MRPL32"", ""TIMM8B"", ""MRPS18B"", 
""PAM16"", ""ATP5PB"")"
"GOBP_OXIDATIVE_PHOSPHORYLATION","1.28763997113766e-19",6.47132883705914e-16,"1.14219120216838","-0.651772896704475","-2.99026100862327","137","c(""MT-CO1"", ""MT-ND5"", ""MT-CO3"", ""MT-CO2"", ""MT-ATP6"", ""MT-CYB"", ""UQCRB"", ""UQCRFS1"", ""CYC1"", ""MT-ND4"", ""NDUFB9"", ""ATP5MG"", ""COX8A"", ""NDUFS5"", ""COX6C"", ""ATP5F1D"", ""NDUFA11"", ""MT-ND6"", ""UQCRH"", ""MT-ATP8"", ""ATP5ME"", ""NDUFS6"", ""ATP5F1E"", ""NDUFA4"", ""NDUFC2"", ""ATP5MF"", ""NDUFA7"", ""ATP5PO"", ""NDUFAB1"", ""ATP5F1C"", ""COX7B"", ""NDUFB3"", ""NDUFB10"", ""PPIF"", ""SLC25A23"", ""COX6B1"", ""NDUFB7"", ""PARK7"", ""UQCR10"", ""NDUFV1"", ""NDUFA3"")"
"GOBP_PROTON_TRANSMEMBRANE_TRANSPORT","1.90295888170725e-19",6.47132883705914e-16,"1.14219120216838","-0.653267894685938","-2.97539923115757","133","c(""MT-CO1"", ""MT-ND5"", ""MT-CO3"", ""MT-CO2"", ""MT-ATP6"", ""MT-CYB"", ""UQCRFS1"", ""CYC1"", ""MT-ND4"", ""ATP5MG"", ""COX8A"", ""TMSB4X"", ""ATP5F1D"", ""UQCRH"", ""MT-ATP8"", ""ATP5ME"", ""ATP6V1D"", ""ATP5F1E"", ""NDUFA4"", ""ATP5MC2"", ""ATP5MF"", ""ATP5PO"", ""PHB2"", ""ATP5F1C"", ""ATP6V0D2"", ""ATP6V1F"", ""COX7B"", ""TWIST1"", ""PPIF"", ""COX6B1"", ""ATP6V1E2"", ""PARK7"", ""UQCR10"", ""DMAC2L"", ""SLC16A1"")"
"GOBP_AEROBIC_RESPIRATION","5.02931433671328e-19",1.28272662157872e-15,"1.12391496374483","-0.593920772140045","-2.82133760632863","184","c(""MT-CO1"", ""MT-ND5"", ""MT-CO3"", ""MT-CO2"", ""MT-ATP6"", ""MT-CYB"", ""UQCRB"", ""UQCRFS1"", ""CYC1"", ""MT-ND4"", ""NDUFB9"", ""ATP5MG"", ""COX8A"", ""BLOC1S1"", ""NDUFS5"", ""COX6C"", ""ARL2"", ""ATP5F1D"", ""IDH3B"", ""NDUFA11"", ""MT-ND6"", ""UQCRH"", ""MT-ATP8"", ""ATP5ME"", ""NDUFS6"", ""ATP5F1E"", ""NDUFA4"", ""SUCLG1"", ""NDUFC2"", ""ATP5MF"", ""NDUFA7"", ""ATP5PO"", ""NDUFAB1"", ""ATP5F1C"", ""COX7B"", ""NDUFB3"", ""NDUFB10"", ""PPIF"", ""SLC25A23"", ""COX6B1"", ""NDUFB7"", ""PARK7"", ""UQCR10"", ""NDUFV1"", ""NDUFA3"", ""CAT"", ""COX5B"", ""MTFR1L"", ""CS"", ""DGUOK"", ""BNIP3"", 
""SDHA"", ""UQCC3"", ""DLAT"")"
"GOCC_RIBOSOMAL_SUBUNIT","2.45104308460821e-18",5.0011083098346e-15,"1.10533657731401","-0.578823242191109","-2.74559354469358","180","c(""RPL8"", ""RPS20"", ""RPL7"", ""RPL30"", ""RPS15"", ""RPS26"", ""RPLP2"", ""RPS19"", ""RPL35"", ""UBA52"", ""RPL28"", ""RPL17"", ""RPS5"", ""RPL18"", ""RPS10"", ""MRPL41"", ""FAU"", ""RPL29"", ""RPS21"", ""RPS9"", ""MRPS34"", ""MRPL13"", ""RPS14"", ""RPL11"", ""RPL26L1"", ""RPS24"", ""RPL13"", ""RPL36AL"", ""RPL27A"", ""RPL36"", ""MRPL14"", ""RPL26"", ""RPL35A"", ""RACK1"", ""MRPL40"", ""RPL34"", ""RPS17"", ""MRPL48"", ""RPS27A"", ""MRPL21"", ""RPL24"", ""RPSA"", ""RPL6"", ""MRPS2"", ""RPL18A"", ""MRPS28"", ""RPS25"", ""MRPS18A"", ""RPL31"", ""RPS16"", ""MRPL15"", ""MRPL28"", ""MRPL23"", ""MRPL55"", 
""RPL32"", ""RPL14"", ""MRPL54"", ""RPS8"", ""MRPS12"", ""RPL41"", ""MRPL51"", ""MRPS10"", ""RPS15A"", ""MRPL43"", ""RPL37A"")"
"GOBP_CELLULAR_RESPIRATION","3.73316381451822e-18",6.34762287261915e-15,"1.0959292864312","-0.549559892035828","-2.67123412274523","227","c(""MT-CO1"", ""MT-ND5"", ""MT-CO3"", ""MT-CO2"", ""MT-ATP6"", ""MT-CYB"", ""ETFB"", ""UQCRB"", ""UQCRFS1"", ""CYC1"", ""MT-ND4"", ""NDUFB9"", ""ATP5MG"", ""COX8A"", ""BLOC1S1"", ""NDUFS5"", ""COX6C"", ""ARL2"", ""ATP5F1D"", ""IDH3B"", ""NDUFA11"", ""MT-ND6"", ""UQCRH"", ""MT-ATP8"", ""ATP5ME"", ""NDUFS6"", ""ATP5F1E"", ""NDUFA4"", ""CISD1"", ""SUCLG1"", ""PRELID1"", ""NDUFC2"", ""ATP5MF"", ""NDUFA7"", ""ATP5PO"", ""NDUFAB1"", ""ATP5F1C"", ""COX7B"", ""NDUFB3"", ""NDUFB10"", ""PPIF"", ""SLC25A23"", ""COX6B1"", ""NDUFB7"", ""PARK7"", ""UQCR10"", ""NDUFV1"", ""NDUFA3"", ""ETFRF1"", ""CAT"", ""SOD2"", 
""COX5B"", ""MTFR1L"", ""CS"", ""DGUOK"", ""BNIP3"", ""SDHA"", ""UQCC3"", ""DLAT"")"
"GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS","3.39429260737095e-17",4.32857164754981e-14,"1.06720998682811","-0.487062663809234","-2.4785435350653","311","c(""MT-CO1"", ""MT-ND5"", ""MT-CO3"", ""MT-CO2"", ""MT-ATP6"", ""MT-CYB"", ""ETFB"", ""UQCRB"", ""UQCRFS1"", ""CYC1"", ""MT-ND4"", ""NDUFB9"", ""ATP5MG"", ""COX8A"", ""BLOC1S1"", ""NDUFS5"", ""COX6C"", ""ARL2"", ""ATP5F1D"", ""IDH3B"", ""NDUFA11"", ""MT-ND6"", ""UQCRH"", ""MT-ATP8"", ""ATP5ME"", ""NDUFS6"", ""PPP1CA"", ""ATP5F1E"", ""NDUFA4"", ""CISD1"", ""SUCLG1"", ""PRELID1"", ""NDUFC2"", ""STK40"", ""ATP5MF"", ""NDUFA7"", ""PHLDA2"", ""ATP5PO"", ""NDUFAB1"", ""ATP5F1C"", ""COX7B"", ""NDUFB3"", ""NDUFB10"", ""PPIF"", ""SLC25A23"", ""COX6B1"", ""NDUFB7"", ""AKT2"", ""INPP5K"", ""PARK7"", ""PPP1R3D"", 
""UQCR10"", ""NDUFV1"", ""NDUFA3"", ""ETFRF1"", ""CAT"", ""SOD2"", ""COX5B"", ""MTFR1L"", ""CS"", ""DGUOK"", ""BNIP3"", ""TIGAR"", ""SDHA"", ""UQCC3"", ""RB1CC1"", ""DLAT"")"
"GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY","3.35802078402034e-17",4.32857164754981e-14,"1.06720998682811","-0.418460916690931","-2.21315742788978","478","c(""MT-CO1"", ""MT-ND5"", ""MT-CO3"", ""MT-CO2"", ""MT-ATP6"", ""MT-CYB"", ""ETFB"", ""UQCRB"", ""UQCRFS1"", ""CYC1"", ""GAPDH"", ""MT-ND4"", ""NDUFB9"", ""ATP5MG"", ""COX8A"", ""BLOC1S1"", ""NDUFS5"", ""COX6C"", ""ARL2"", ""ATP5F1D"", ""IDH3B"", ""NDUFA11"", ""MT-ND6"", ""UQCRH"", ""MT-ATP8"", ""ASPH"", ""ATP5ME"", ""PGAM1"", ""NDUFS6"", ""LDHA"", ""EIF6"", ""PPP1CA"", ""ATP5F1E"", ""NDUFA4"", ""CISD1"", ""SUCLG1"", ""AKR7A2"", ""TPI1"", ""PRELID1"", ""NDUFC2"", ""STK40"", ""TALDO1"", ""ATP5MF"", ""TKT"", ""NDUFA7"", ""PHLDA2"", ""ATP5PO"", ""NDUFAB1"", ""PHB2"", ""ATP5F1C"", ""DHRS3"", ""COX7B"", 
""NDUFB3"", ""GPI"", ""NDUFB10"", ""PPIF"", ""SLC25A23"", ""COX6B1"", ""NDUFB7"", ""AKT2"", ""SLC27A5"", ""INPP5K"", ""PARK7"", ""PPP1R3D"", ""UQCR10"", ""MLST8"", ""NDUFV1"", ""NDUFA3"", ""ETFRF1"", ""CAT"", ""ATP5IF1"", ""SOD2"", ""SRD5A1"", ""ADH4"", ""GLRX2"", ""COX5B"", ""MTFR1L"", ""RPIA"", ""CS"", ""PGLS"", ""DGUOK"", ""BNIP3"", ""TIGAR"", ""ADH1A"", ""SDHA"", ""UQCC3"", ""RB1CC1"", ""DLAT"", ""ADH5"")"
"GOCC_RIBOSOME","9.46804992589312e-17",1.07325605937735e-13,"1.05746357275086","-0.54690859473624","-2.65060062339309","210","c(""RPL8"", ""RPS20"", ""RPL7"", ""RPL30"", ""RPS15"", ""RPS26"", ""RPLP2"", ""RPS19"", ""RPL35"", ""UBA52"", ""RPL28"", ""RPL17"", ""EIF3H"", ""RPS5"", ""RPL18"", ""RPS10"", ""MRPL41"", ""FAU"", ""RPL29"", ""RPS21"", ""RPS9"", ""MRPS34"", ""MRPL13"", ""RPS14"", ""RPL11"", ""RPL26L1"", ""RPS24"", ""RPL13"", ""RPL36AL"", ""RPL27A"", ""RPL36"", ""MRPL14"", ""RPL26"", ""RPL35A"", ""RACK1"", ""MRPL40"", ""RPL34"", ""RPS17"", ""MRPL48"", ""RPS27A"", ""MRPL21"", ""RPL24"", ""RPSA"", ""RPL6"", ""MRPS2"", ""RPL18A"", ""MRPS28"", ""RPS25"", ""MRPS18A"", ""RPL31"", ""RPS16"", ""MRPL15"", ""NDUFA7"", ""MRPL28"", 
""MRPL23"", ""MRPL55"", ""APEX1"", ""RPL32"", ""RPL14"", ""MRPL54"", ""RPS8"", ""MRPS12"", ""RPL41"", ""MRPL51"", ""MRPS10"", ""RPS15A"", ""MRPL43"", ""RPL37A"")"
"GOCC_RESPIRASOME","1.15357236921752e-16",1.17687453107572e-13,"1.04762648849882","-0.684567504297192","-2.95071580423058","94","c(""MT-CO1"", ""MT-ND5"", ""MT-CO3"", ""MT-CO2"", ""MT-CYB"", ""UQCRB"", ""UQCRFS1"", ""CYC1"", ""MT-ND4"", ""NDUFB9"", ""COX8A"", ""NDUFS5"", ""COX6C"", ""RAB5IF"", ""NDUFA11"", ""MT-ND6"", ""UQCRH"", ""NDUFS6"", ""NDUFA4"", ""HIGD2A"", ""NDUFC2"", ""NDUFA7"", ""NDUFAB1"", ""COX7B"", ""BCS1L"", ""NDUFB3"", ""NDUFB10"", ""COX6B1"", ""NDUFB7"", ""UQCR10"", ""NDUFV1"", ""NDUFA3"")"
