"Start_Position"	"Hugo_Symbol"	"Variant_Classification"	"ShortVariantID"	"Freq"	"Heteroplasmy"	"Cancertype"
"1"	577	"MT-TF"	"5'Flank"	"G:577:A"	"< 5"	0.0658960304700701	"CARCINOMA_OF_UNKNOWN_PRIMARY(< 5),PROSTATE(< 5)"
"2"	579	"MT-TF"	"5'Flank"	"T:579:C"	"< 5"	0.189953843523848	"PROSTATE(< 5)"
"3"	583	"MT-TF"	"5'Flank"	"G:583:A"	"< 5"	0.107450898362557	"BLADDER(< 5),BREAST(< 5),COLORECTAL(< 5),LUNG(< 5)"
"4"	586	"MT-TF"	"5'Flank"	"G:586:A"	"7"	0.304512204905666	"ADULT_GLIOMA(< 5),BLADDER(< 5),COLORECTAL(< 5),RENAL(< 5)"
"5"	587	"MT-TF"	"5'Flank"	"C:587:T"	"< 5"	0.119290865384615	"BREAST(< 5)"
"6"	588	"MT-TF"	"5'Flank"	"T:588:C"	"< 5"	0.346456489394969	"BREAST(< 5),COLORECTAL(< 5)"
"7"	589	"MT-TF"	"5'Flank"	"T:589:A"	"< 5"	0.87887509250884	"HAEMONC(< 5)"
"8"	601	"MT-TF"	"5'Flank"	"G:601:A"	"6"	0.396009273609552	"COLORECTAL(< 5),ENDOMETRIAL_CARCINOMA(< 5),HEPATOPANCREATOBILIARY(< 5),PROSTATE(< 5),RENAL(< 5)"
"9"	602	"MT-TF"	"5'Flank"	"C:602:T"	"< 5"	0.0950927559731032	"LUNG(< 5)"
"10"	608	"MT-TF"	"5'Flank"	"A:608:G"	"< 5"	0.748767034393251	"BREAST(< 5)"
"11"	611	"MT-TF"	"5'Flank"	"G:611:A"	"< 5"	0.125238152380833	"BLADDER(< 5),LUNG(< 5)"
"12"	616	"MT-TF"	"5'Flank"	"T:616:C"	"< 5"	0.429363153564811	"COLORECTAL(< 5),RENAL(< 5)"
"13"	617	"MT-TF"	"5'Flank"	"G:617:A"	"< 5"	0.208841166962028	"COLORECTAL(< 5),LUNG(< 5),PROSTATE(< 5)"
"14"	622	"MT-TF"	"5'Flank"	"G:622:A"	"6"	0.654120656718422	"ADULT_GLIOMA(< 5),BREAST(< 5),COLORECTAL(< 5),SARCOMA(< 5)"
"15"	622	"MT-TF"	"5'Flank"	"G:622:C"	"< 5"	0.235967356687898	"RENAL(< 5)"
"16"	625	"MT-TF"	"5'Flank"	"G:625:T"	"< 5"	0.32825354427817	"BREAST(< 5),RENAL(< 5)"
"17"	626	"MT-TF"	"5'Flank"	"G:626:A"	"< 5"	0.267085905698144	"ADULT_GLIOMA(< 5),BLADDER(< 5),BREAST(< 5)"
"18"	627	"MT-TF"	"5'Flank"	"G:627:A"	"9"	0.399196490012023	"BLADDER(< 5),BREAST(< 5),COLORECTAL(< 5),LUNG(< 5),OVARIAN(< 5),PROSTATE(< 5),RENAL(< 5)"
"19"	639	"MT-TF"	"5'Flank"	"C:639:T"	"< 5"	0.154391238995061	"LUNG(< 5)"
"20"	641	"MT-TF"	"5'Flank"	"A:641:C"	"< 5"	0.138658402479256	"COLORECTAL(< 5)"
"21"	641	"MT-TF"	"5'Flank"	"A:641:G"	"< 5"	0.0525410002024701	"COLORECTAL(< 5)"
"22"	642	"MT-TF"	"5'Flank"	"T:642:C"	"< 5"	0.208624545372228	"COLORECTAL(< 5),ENDOMETRIAL_CARCINOMA(< 5)"
"23"	645	"MT-TF"	"5'Flank"	"A:645:G"	"< 5"	0.648818407960199	"LUNG(< 5)"
"24"	651	"MT-RNR1"	"5'Flank"	"A:651:T"	"< 5"	0.741666105461647	"RENAL(< 5)"
