"Start_Position"	"Hugo_Symbol"	"Variant_Classification"	"ShortVariantID"	"Freq"	"Heteroplasmy"	"Cancertype"
"1"	577	"MT-TF"	"5'Flank"	"G:577:A"	"5"	0.0422078030147898	"BLADDER(< 5),CARCINOMA_OF_UNKNOWN_PRIMARY(< 5),HAEMONC(< 5),OVARIAN(< 5),PROSTATE(< 5)"
"2"	579	"MT-TF"	"5'Flank"	"T:579:C"	"< 5"	0.189953843523848	"PROSTATE(< 5)"
"3"	580	"MT-TF"	"5'Flank"	"T:580:C"	"< 5"	0.0124558650451157	"RENAL(< 5)"
"4"	583	"MT-TF"	"5'Flank"	"G:583:A"	"< 5"	0.107450898362557	"BLADDER(< 5),BREAST(< 5),COLORECTAL(< 5),LUNG(< 5)"
"5"	586	"MT-TF"	"5'Flank"	"G:586:A"	"11"	0.204267546944151	"ADULT_GLIOMA(< 5),BLADDER(< 5),BREAST(< 5),COLORECTAL(5),LUNG(< 5),OVARIAN(< 5),RENAL(< 5)"
"6"	586	"MT-TF"	"5'Flank"	"G:586:C"	"< 5"	0.0245583222711937	"COLORECTAL(< 5),OVARIAN(< 5)"
"7"	587	"MT-TF"	"5'Flank"	"C:587:T"	"< 5"	0.0545075812233928	"BREAST(< 5),COLORECTAL(< 5)"
"8"	588	"MT-TF"	"5'Flank"	"T:588:C"	"7"	0.163780641882396	"BREAST(< 5),COLORECTAL(< 5),RENAL(< 5),SARCOMA(< 5)"
"9"	589	"MT-TF"	"5'Flank"	"T:589:A"	"< 5"	0.87887509250884	"HAEMONC(< 5)"
"10"	600	"MT-TF"	"5'Flank"	"A:600:T"	"< 5"	0.0114161934312979	"BREAST(< 5)"
"11"	601	"MT-TF"	"5'Flank"	"G:601:A"	"9"	0.270030919764666	"ADULT_GLIOMA(< 5),COLORECTAL(< 5),ENDOMETRIAL_CARCINOMA(< 5),HEPATOPANCREATOBILIARY(< 5),ORAL_OROPHARYNGEAL(< 5),PROSTATE(< 5),RENAL(< 5)"
"12"	602	"MT-TF"	"5'Flank"	"C:602:T"	"< 5"	0.0950927559731032	"LUNG(< 5)"
"13"	607	"MT-TF"	"5'Flank"	"C:607:T"	"< 5"	0.0308325656561071	"RENAL(< 5),UPPER_GASTROINTESTINAL(< 5)"
"14"	608	"MT-TF"	"5'Flank"	"A:608:G"	"< 5"	0.264943896205626	"BREAST(< 5),HAEMONC(< 5),RENAL(< 5)"
